year,map_vintage,state,state_code,district,district_note,at_large,counties_whole,counties_partial,counties_whole_list,counties_partial_list,matched_counties,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,votes_from_partial_pct,lean_pres_pct,lean_house_pct,lean_senate_pct,lean_statewide_pct,weight_pres,weight_house,weight_senate,weight_statewide,sources_used
2012,2000s,Alaska,AK,AK-AL,,True,0,0,,,0,0,0,0,0,,,51.99,-17.09,R+17.1,,,-20.1,,-14.09,0.0,0.5,0.0,0.5,house+statewide
2012,2000s,Alabama,AL,AL-01,,False,5,1,Baldwin County; Escambia County; Mobile County; Monroe County; Washington County,Clarke County,6,112805,184342,2788,299935,37.96,62.04,51.99,-14.02,R+14.0,1.6,-14.02,,,,1.0,0.0,0.0,0.0,pres
2012,2000s,Alabama,AL,AL-02,,False,15,1,Autauga County; Barbour County; Bullock County; Butler County; Coffee County; Conecuh County; Covington County; Crenshaw County; Dale County; Elmore County; Geneva County; Henry County; Houston County; Lowndes County; Pike County,Montgomery County,16,90778,164829,2112,257719,35.51,64.49,51.99,-15.87,R+15.9,8.1,-16.47,-14.67,,,0.667,0.333,0.0,0.0,pres+house
2012,2000s,Alabama,AL,AL-03,,False,11,2,Calhoun County; Chambers County; Cherokee County; Clay County; Cleburne County; Lee County; Macon County; Randolph County; Russell County; Talladega County; Tallapoosa County,Coosa County; Montgomery County,13,142955,168418,3156,314529,45.91,54.09,51.99,-9.09,R+9.1,26.8,-6.07,-15.12,,,0.667,0.333,0.0,0.0,pres+house
2012,2000s,Alabama,AL,AL-04,,False,11,3,Blount County; Cullman County; DeKalb County; Etowah County; Fayette County; Franklin County; Lamar County; Marion County; Marshall County; Walker County; Winston County,Morgan County; Pickens County; St. Clair County,14,64062,220270,4016,288348,22.53,77.47,51.99,-28.0,R+28.0,18.7,-29.45,-25.08,,,0.667,0.333,0.0,0.0,pres+house
2012,2000s,Alabama,AL,AL-05,,False,6,1,Colbert County; Jackson County; Lauderdale County; Lawrence County; Limestone County; Madison County,Morgan County,7,106280,182258,4560,293099,36.83,63.17,51.99,-15.43,R+15.4,2.3,-15.15,-15.99,,,0.667,0.333,0.0,0.0,pres+house
2012,2000s,Alabama,AL,AL-06,,False,3,4,Bibb County; Chilton County; Shelby County,Coosa County; Jefferson County; St. Clair County; Tuscaloosa County,7,173572,253248,4716,431535,40.67,59.33,51.99,-14.98,R+15.0,72.5,-11.32,-22.31,,,0.667,0.333,0.0,0.0,pres+house
2012,2000s,Alabama,AL,AL-07,,False,8,4,Choctaw County; Dallas County; Greene County; Hale County; Marengo County; Perry County; Sumter County; Wilcox County,Clarke County; Jefferson County; Pickens County; Tuscaloosa County,12,105244,82560,1369,189173,56.04,43.96,51.99,11.0,D+11.0,60.8,4.05,24.89,,,0.667,0.333,0.0,0.0,pres+house
2012,2000s,Arkansas,AR,AR-01,,False,26,0,Arkansas County; Baxter County; Clay County; Cleburne County; Craighead County; Crittenden County; Cross County; Fulton County; Greene County; Independence County; Izard County; Jackson County; Lawrence County; Lee County; Lonoke County; Mississippi County; Monroe County; Phillips County; Poinsett County; Prairie County; Randolph County; St. Francis County; Searcy County; Sharp County; Stone County; Woodruff County,,26,85230,148816,6594,240640,36.42,63.58,51.99,-13.7,R+13.7,0.0,-15.57,-9.98,,,0.667,0.333,0.0,0.0,pres+house
2012,2000s,Arkansas,AR,AR-02,,False,8,0,Conway County; Faulkner County; Perry County; Pulaski County; Saline County; Van Buren County; White County; Yell County,,8,127249,164182,7058,298489,43.66,56.34,51.99,-8.65,R+8.7,0.0,-8.32,-9.31,,,0.667,0.333,0.0,0.0,pres+house
