state,state_code,district,district_note,at_large,map_vintage,is_current_map,years_used,n_years,d_share_mean,national_d_share_mean,midterm_lean_pct,midterm_lean_label,total_votes_mean,races_used_mean,statewide_baseline
Alaska,AK,AK-AL,,True,2000s,False,2006+2010,2,38.6,51.39,-12.79,R+12.8,374166,1.5,True
Alaska,AK,AK-AL,,True,2010s,False,2014+2018,2,47.6,50.42,-2.82,R+2.8,282767,1.0,True
Alaska,AK,AK-AL,,True,2020s,True,2022,1,30.65,50.42,-19.76,R+19.8,263752,1.0,True
Alabama,AL,AL-01,,False,2000s,False,2006+2010,2,40.2,51.39,-11.18,R+11.2,2115086,1.5,True
Alabama,AL,AL-01,,False,2010s,False,2014+2018,2,38.56,50.42,-11.86,R+11.9,2304220,1.5,True
Alabama,AL,AL-01,,False,2020s,True,2022,1,31.54,50.42,-18.87,R+18.9,5641112,4.0,True
Alabama,AL,AL-02,,False,2000s,False,2006+2010,2,40.2,51.39,-11.18,R+11.2,2115086,1.5,True
Alabama,AL,AL-02,,False,2010s,False,2014+2018,2,38.56,50.42,-11.86,R+11.9,2304220,1.5,True
Alabama,AL,AL-02,,False,2020s,True,2022,1,31.54,50.42,-18.87,R+18.9,5641112,4.0,True
Alabama,AL,AL-03,,False,2000s,False,2006+2010,2,40.2,51.39,-11.18,R+11.2,2115086,1.5,True
Alabama,AL,AL-03,,False,2010s,False,2014+2018,2,38.56,50.42,-11.86,R+11.9,2304220,1.5,True
Alabama,AL,AL-03,,False,2020s,True,2022,1,31.54,50.42,-18.87,R+18.9,5641112,4.0,True
Alabama,AL,AL-04,,False,2000s,False,2006+2010,2,40.2,51.39,-11.18,R+11.2,2115086,1.5,True
Alabama,AL,AL-04,,False,2010s,False,2014+2018,2,38.56,50.42,-11.86,R+11.9,2304220,1.5,True
Alabama,AL,AL-04,,False,2020s,True,2022,1,31.54,50.42,-18.87,R+18.9,5641112,4.0,True
Alabama,AL,AL-05,,False,2000s,False,2006+2010,2,40.2,51.39,-11.18,R+11.2,2115086,1.5,True
Alabama,AL,AL-05,,False,2010s,False,2014+2018,2,38.56,50.42,-11.86,R+11.9,2304220,1.5,True
Alabama,AL,AL-05,,False,2020s,True,2022,1,31.54,50.42,-18.87,R+18.9,5641112,4.0,True
Alabama,AL,AL-06,,False,2000s,False,2006+2010,2,40.2,51.39,-11.18,R+11.2,2115086,1.5,True
Alabama,AL,AL-06,,False,2010s,False,2014+2018,2,38.56,50.42,-11.86,R+11.9,2304220,1.5,True
Alabama,AL,AL-06,,False,2020s,True,2022,1,31.54,50.42,-18.87,R+18.9,5641112,4.0,True
Alabama,AL,AL-07,,False,2000s,False,2006+2010,2,40.2,51.39,-11.18,R+11.2,2115086,1.5,True
Alabama,AL,AL-07,,False,2010s,False,2014+2018,2,38.56,50.42,-11.86,R+11.9,2304220,1.5,True
Alabama,AL,AL-07,,False,2020s,True,2022,1,31.54,50.42,-18.87,R+18.9,5641112,4.0,True
Arkansas,AR,AR-01,,False,2000s,False,2006+2010,2,55.16,51.39,3.77,D+3.8,1167985,1.5,True
Arkansas,AR,AR-01,,False,2010s,False,2014+2018,2,38.27,50.42,-12.15,R+12.2,1738512,2.0,True
Arkansas,AR,AR-01,,False,2020s,True,2022,1,33.41,50.42,-17.01,R+17.0,4493709,5.0,True
Arkansas,AR,AR-02,,False,2000s,False,2006+2010,2,55.16,51.39,3.77,D+3.8,1167985,1.5,True
Arkansas,AR,AR-02,,False,2010s,False,2014+2018,2,38.27,50.42,-12.15,R+12.2,1738512,2.0,True
Arkansas,AR,AR-02,,False,2020s,True,2022,1,33.41,50.42,-17.01,R+17.0,4493709,5.0,True
Arkansas,AR,AR-03,,False,2000s,False,2006+2010,2,55.16,51.39,3.77,D+3.8,1167985,1.5,True
Arkansas,AR,AR-03,,False,2010s,False,2014+2018,2,38.27,50.42,-12.15,R+12.2,1738512,2.0,True
Arkansas,AR,AR-03,,False,2020s,True,2022,1,33.41,50.42,-17.01,R+17.0,4493709,5.0,True
Arkansas,AR,AR-04,,False,2000s,False,2006+2010,2,55.16,51.39,3.77,D+3.8,1167985,1.5,True
