state,state_code,district,district_note,at_large,map_vintage,is_current_map,years_used,n_years,d_share_mean,national_d_share_mean,pvi_pct,pvi_label,total_votes_mean,counties_whole,counties_partial,votes_from_partial_pct_max
Alaska,AK,AK-AL,,True,2000s,False,2004+2008+2012,3,,51.5,-11.91,R+11.9,0,0,0,
Alaska,AK,AK-AL,,True,2010s,False,2016+2020,2,,51.71,-8.44,R+8.4,0,0,0,
Alaska,AK,AK-AL,,True,2020s,True,2024,1,43.11,49.25,-1.95,R+1.9,337457,0,0,0.0
Alabama,AL,AL-01,,False,2000s,False,2004+2008+2012,3,37.46,51.5,-14.68,R+14.7,287510,5,1,1.6
Alabama,AL,AL-01,,False,2010s,False,2016+2020,2,35.39,51.71,-14.34,R+14.3,317108,5,1,0.7
Alabama,AL,AL-01,,False,2020s,True,2024,1,27.08,49.25,-23.89,R+23.9,364650,8,1,28.2
Alabama,AL,AL-02,,False,2000s,False,2004+2008+2012,3,33.94,51.5,-16.31,R+16.3,246827,15,1,8.3
Alabama,AL,AL-02,,False,2010s,False,2016+2020,2,36.04,51.71,-12.5,R+12.5,304752,14,1,22.0
Alabama,AL,AL-02,,False,2020s,True,2024,1,50.69,49.25,2.88,D+2.9,261024,11,2,29.2
Alabama,AL,AL-03,,False,2000s,False,2004+2008+2012,3,44.06,51.5,-10.23,R+10.2,305979,11,2,26.9
Alabama,AL,AL-03,,False,2010s,False,2016+2020,2,35.12,51.71,-14.68,R+14.7,310470,11,2,10.3
Alabama,AL,AL-03,,False,2020s,True,2024,1,26.4,49.25,-22.85,R+22.9,315680,10,1,10.0
Alabama,AL,AL-04,,False,2000s,False,2004+2008+2012,3,25.23,51.5,-25.03,R+25.0,289020,11,3,18.7
Alabama,AL,AL-04,,False,2010s,False,2016+2020,2,21.24,51.71,-23.64,R+23.6,333285,12,3,17.5
Alabama,AL,AL-04,,False,2020s,True,2024,1,18.41,49.25,-30.84,R+30.8,334979,11,2,25.3
Alabama,AL,AL-05,,False,2000s,False,2004+2008+2012,3,38.34,51.5,-10.33,R+10.3,282369,6,1,2.5
Alabama,AL,AL-05,,False,2010s,False,2016+2020,2,34.43,51.71,-14.52,R+14.5,340268,5,0,0.0
Alabama,AL,AL-05,,False,2020s,True,2024,1,35.42,49.25,-13.83,R+13.8,356432,5,1,3.4
Alabama,AL,AL-06,,False,2000s,False,2004+2008+2012,3,39.48,51.5,-14.48,R+14.5,422718,3,4,74.0
Alabama,AL,AL-06,,False,2010s,False,2016+2020,2,42.27,51.71,-11.57,R+11.6,409324,4,2,65.9
Alabama,AL,AL-06,,False,2020s,True,2024,1,36.29,49.25,-15.05,R+15.1,340288,6,2,35.7
Alabama,AL,AL-07,,False,2000s,False,2004+2008+2012,3,53.61,51.5,2.8,D+2.8,184780,8,4,61.7
Alabama,AL,AL-07,,False,2010s,False,2016+2020,2,55.75,51.71,-2.28,R+2.3,208121,10,4,60.9
Alabama,AL,AL-07,,False,2020s,True,2024,1,53.88,49.25,8.04,D+8.0,292037,10,3,75.1
Arkansas,AR,AR-01,,False,2000s,False,2004+2008+2012,3,41.22,51.5,-7.74,R+7.7,244820,26,0,0.0
Arkansas,AR,AR-01,,False,2010s,False,2016+2020,2,30.95,51.71,-17.19,R+17.2,272182,28,2,3.8
Arkansas,AR,AR-01,,False,2020s,True,2024,1,29.34,49.25,-19.24,R+19.2,294925,30,1,8.4
