year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
2000,house,Alabama,AL,1,,Sonny Callahan,Republican,,91.3,True,True,False
2000,house,Alabama,AL,1,,Dick Coffee,Libertarian,,8.5,False,False,False
2000,house,Alabama,AL,2,,Terry Everett,Republican,,68.2,True,True,False
2000,house,Alabama,AL,2,,Charles Woods,Democratic,,29.2,False,False,False
2000,house,Alabama,AL,2,,Wallace B. McGahan,Libertarian,,1.8,False,False,False
2000,house,Alabama,AL,3,,Bob Riley,Republican,,86.9,True,True,False
2000,house,Alabama,AL,3,,John Sophocleus,Libertarian,,8.5,False,False,False
2000,house,Alabama,AL,4,,Robert Aderholt,Republican,,60.6,True,True,False
2000,house,Alabama,AL,4,,Marsha Folsom,Democratic,,37.4,False,False,False
2000,house,Alabama,AL,4,,Craig Goodrich,Libertarian,,1.5,False,False,False
2000,house,Alabama,AL,5,,Robert E. Cramer,Democratic,,88.8,True,True,False
2000,house,Alabama,AL,5,,Alan F. Barksdale,Libertarian,,10.5,False,False,False
2000,house,Alabama,AL,6,,Spencer Bachus,Republican,,87.9,True,True,False
2000,house,Alabama,AL,6,,Terry Reagin,Libertarian,,11.7,False,False,False
2000,house,Alabama,AL,7,,Earl Hilliard,Democratic,,74.6,True,True,False
2000,house,Alabama,AL,7,,Ed Martin,Republican,,23.2,False,False,False
2000,house,Alabama,AL,7,,Ken Hager,Libertarian,,1.9,False,False,False
2000,house,Alaska,AK,AL,274393,Don Young,Republican,,71.0,True,True,False
2000,house,Alaska,AK,AL,274393,Clifford Greene,Democratic,45372,17.0,False,False,False
2000,house,Alaska,AK,AL,274393,Anna Young,Green,22440,8.0,False,False,False
2000,house,Alaska,AK,AL,274393,Jim Dore,Alaskan Independence,10085,4.0,False,False,False
2000,house,Alaska,AK,AL,274393,Leonard Karpinski,Libertarian,,2.0,False,False,False
2000,house,Arizona,AZ,1,229971,Jeff Flake,Republican,123289,53.6,True,False,True
2000,house,Arizona,AZ,1,229971,David Mendoza,Democratic,97455,42.4,False,False,True
2000,house,Arizona,AZ,1,229971,Jon Burroughs,Libertarian,9227,4.0,False,False,True
2000,house,Arizona,AZ,2,122605,Ed Pastor,Democratic,84034,68.5,True,True,False
2000,house,Arizona,AZ,2,122605,Bill Barenholtz,Republican,32990,26.9,False,False,False
2000,house,Arizona,AZ,2,122605,Geoffrey Weber,Libertarian,3169,2.6,False,False,False
2000,house,Arizona,AZ,2,122605,Barbara Shelor,Natural Law,2412,2.0,False,False,False
2000,house,Arizona,AZ,3,301970,Bob Stump,Republican,198367,65.7,True,True,False
2000,house,Arizona,AZ,3,301970,Gene Scharer,Democratic,94676,31.4,False,False,False
2000,house,Arizona,AZ,3,301970,Edward R. Carlson,Libertarian,,3.0,False,False,False
2000,house,Arizona,AZ,4,219497,John Shadegg,Republican,140396,64.0,True,True,False
2000,house,Arizona,AZ,4,219497,Ben Jankowski,Democratic,71803,32.7,False,False,False
2000,house,Arizona,AZ,4,219497,Ernest Hancock,Libertarian,7298,3.3,False,False,False
2000,house,Arizona,AZ,5,287609,Jim Kolbe,Republican,172986,60.1,True,True,False
2000,house,Arizona,AZ,5,287609,George Cunningham,Democratic,101564,35.3,False,False,False
2000,house,Arizona,AZ,5,287609,Michael Jay Green,Green,9010,3.1,False,False,False
2000,house,Arizona,AZ,5,287609,Aage Nost,Libertarian,4049,1.4,False,False,False
2000,house,Arizona,AZ,6,304004,J. D. Hayworth,Republican,186687,61.4,True,True,False
2000,house,Arizona,AZ,6,304004,Larry Nelson,Democratic,108317,35.6,False,False,False
2000,house,Arizona,AZ,6,304004,Richard Duncan,Libertarian,9000,3.0,False,False,False
2000,house,Arkansas,AR,1,,Marion Berry,Democratic,,60.1,True,True,False
2000,house,Arkansas,AR,1,,Susan Myshka,Republican,,39.7,False,False,False
2000,house,Arkansas,AR,2,,Vic Snyder,Democratic,,57.5,True,True,False
2000,house,Arkansas,AR,2,,Bob Thomas,Republican,,42.5,False,False,False
2000,house,Arkansas,AR,3,,Asa Hutchinson,Republican,,100.0,True,True,False
2000,house,Arkansas,AR,4,,Mike Ross,Democratic,,51.0,True,False,False
2000,house,Arkansas,AR,4,,Jay Dickey,Republican,,49.0,False,True,False
2000,house,California,CA,1,251153,Mike Thompson,Democratic,155638,65.1,True,True,False
2000,house,California,CA,1,251153,Russel Chase,Republican,,28.0,False,False,False
2000,house,California,CA,1,251153,Cheryl Kreier,Natural Law,7173,3.0,False,False,False
2000,house,California,CA,1,251153,Emil Rossi,Libertarian,,2.6,False,False,False
2000,house,California,CA,1,251153,Pamela Elizondo,Reform,3161,1.3,False,False,False
2000,house,California,CA,2,262986,Wally Herger,Republican,168172,65.8,True,True,False
2000,house,California,CA,2,262986,Stan Morgan,Democratic,72075,28.2,False,False,False
2000,house,California,CA,2,262986,John McDermott,Natural Law,8910,3.4,False,False,False
2000,house,California,CA,2,262986,Charles R. Martin,Libertarian,6699,2.6,False,False,False
2000,house,California,CA,3,234491,Doug Ose,Republican,129254,56.2,True,True,False
2000,house,California,CA,3,234491,Bob Kent,Democratic,93067,40.5,False,False,False
2000,house,California,CA,3,234491,Douglas Arthur Tuma,Libertarian,5227,2.2,False,False,False
2000,house,California,CA,3,234491,Channing Jones,Natural Law,,1.1,False,False,False
2000,house,California,CA,4,315929,John Doolittle,Republican,197503,63.5,True,True,False
2000,house,California,CA,4,315929,Mark Norberg,Democratic,,31.5,False,False,False
2000,house,California,CA,4,315929,William Fritz Frey,Libertarian,9494,3.0,False,False,False
2000,house,California,CA,4,315929,Robert Ray,Natural Law,,2.0,False,False,False
2000,house,California,CA,5,215805,Bob Matsui,Democratic,,68.7,True,True,False
