year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1944,Alabama,AL,Autauga,County,Franklin D. Roosevelt,Democratic,1242,91.06,1364,Democratic
1944,Alabama,AL,Autauga,County,Thomas E. Dewey,Republican,117,8.58,1364,Democratic
1944,Alabama,AL,Autauga,County,Claude A. Watson,Prohibition,5,0.37,1364,Democratic
1944,Alabama,AL,Autauga,County,Norman Thomas,Socialist,0,0.0,1364,Democratic
1944,Alabama,AL,Baldwin,County,Franklin D. Roosevelt,Democratic,2002,73.41,2727,Democratic
1944,Alabama,AL,Baldwin,County,Thomas E. Dewey,Republican,695,25.49,2727,Democratic
1944,Alabama,AL,Baldwin,County,Claude A. Watson,Prohibition,22,0.81,2727,Democratic
1944,Alabama,AL,Baldwin,County,Norman Thomas,Socialist,8,0.29,2727,Democratic
1944,Alabama,AL,Barbour,County,Franklin D. Roosevelt,Democratic,2237,94.91,2357,Democratic
1944,Alabama,AL,Barbour,County,Thomas E. Dewey,Republican,67,2.84,2357,Democratic
1944,Alabama,AL,Barbour,County,Claude A. Watson,Prohibition,53,2.25,2357,Democratic
1944,Alabama,AL,Barbour,County,Norman Thomas,Socialist,0,0.0,2357,Democratic
1944,Alabama,AL,Bibb,County,Franklin D. Roosevelt,Democratic,1287,83.25,1546,Democratic
1944,Alabama,AL,Bibb,County,Thomas E. Dewey,Republican,244,15.78,1546,Democratic
1944,Alabama,AL,Bibb,County,Claude A. Watson,Prohibition,10,0.65,1546,Democratic
1944,Alabama,AL,Bibb,County,Norman Thomas,Socialist,2,0.13,1546,Democratic
1944,Alabama,AL,Blount,County,Franklin D. Roosevelt,Democratic,2134,67.85,3145,Democratic
1944,Alabama,AL,Blount,County,Thomas E. Dewey,Republican,998,31.73,3145,Democratic
1944,Alabama,AL,Blount,County,Claude A. Watson,Prohibition,10,0.32,3145,Democratic
1944,Alabama,AL,Blount,County,Norman Thomas,Socialist,1,0.03,3145,Democratic
1944,Alabama,AL,Bullock,County,Franklin D. Roosevelt,Democratic,1056,97.78,1080,Democratic
1944,Alabama,AL,Bullock,County,Thomas E. Dewey,Republican,24,2.22,1080,Democratic
1944,Alabama,AL,Bullock,County,Claude A. Watson,Prohibition,0,0.0,1080,Democratic
1944,Alabama,AL,Bullock,County,Norman Thomas,Socialist,0,0.0,1080,Democratic
1944,Alabama,AL,Butler,County,Franklin D. Roosevelt,Democratic,1915,95.75,2000,Democratic
1944,Alabama,AL,Butler,County,Thomas E. Dewey,Republican,80,4.0,2000,Democratic
1944,Alabama,AL,Butler,County,Claude A. Watson,Prohibition,5,0.25,2000,Democratic
1944,Alabama,AL,Butler,County,Norman Thomas,Socialist,0,0.0,2000,Democratic
1944,Alabama,AL,Calhoun,County,Franklin D. Roosevelt,Democratic,4308,85.65,5030,Democratic
1944,Alabama,AL,Calhoun,County,Thomas E. Dewey,Republican,694,13.8,5030,Democratic
1944,Alabama,AL,Calhoun,County,Claude A. Watson,Prohibition,26,0.52,5030,Democratic
1944,Alabama,AL,Calhoun,County,Norman Thomas,Socialist,2,0.04,5030,Democratic
1944,Alabama,AL,Chambers,County,Franklin D. Roosevelt,Democratic,3458,94.43,3662,Democratic
1944,Alabama,AL,Chambers,County,Thomas E. Dewey,Republican,194,5.3,3662,Democratic
1944,Alabama,AL,Chambers,County,Claude A. Watson,Prohibition,9,0.25,3662,Democratic
1944,Alabama,AL,Chambers,County,Norman Thomas,Socialist,0,0.0,3662,Democratic
1944,Alabama,AL,Cherokee,County,Franklin D. Roosevelt,Democratic,1774,80.64,2200,Democratic
1944,Alabama,AL,Cherokee,County,Thomas E. Dewey,Republican,408,18.55,2200,Democratic
1944,Alabama,AL,Cherokee,County,Claude A. Watson,Prohibition,17,0.77,2200,Democratic
1944,Alabama,AL,Cherokee,County,Norman Thomas,Socialist,1,0.05,2200,Democratic
1944,Alabama,AL,Chilton,County,Franklin D. Roosevelt,Democratic,1984,58.77,3376,Democratic
1944,Alabama,AL,Chilton,County,Thomas E. Dewey,Republican,1385,41.02,3376,Democratic
1944,Alabama,AL,Chilton,County,Claude A. Watson,Prohibition,6,0.18,3376,Democratic
1944,Alabama,AL,Chilton,County,Norman Thomas,Socialist,1,0.03,3376,Democratic
