year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2020,Alabama,AL,Autauga,County,Donald Trump,Republican,19838,71.44,27770,Republican
2020,Alabama,AL,Autauga,County,Joe Biden,Democratic,7503,27.02,27770,Republican
2020,Alabama,AL,Autauga,County,Other,Other,429,1.54,27770,Republican
2020,Alabama,AL,Baldwin,County,Donald Trump,Republican,83544,76.17,109679,Republican
2020,Alabama,AL,Baldwin,County,Joe Biden,Democratic,24578,22.41,109679,Republican
2020,Alabama,AL,Baldwin,County,Other,Other,1557,1.42,109679,Republican
2020,Alabama,AL,Barbour,County,Donald Trump,Republican,5622,53.45,10518,Republican
2020,Alabama,AL,Barbour,County,Joe Biden,Democratic,4816,45.79,10518,Republican
2020,Alabama,AL,Barbour,County,Other,Other,80,0.76,10518,Republican
2020,Alabama,AL,Bibb,County,Donald Trump,Republican,7525,78.43,9595,Republican
2020,Alabama,AL,Bibb,County,Joe Biden,Democratic,1986,20.7,9595,Republican
2020,Alabama,AL,Bibb,County,Other,Other,84,0.88,9595,Republican
2020,Alabama,AL,Blount,County,Donald Trump,Republican,24711,89.57,27588,Republican
2020,Alabama,AL,Blount,County,Joe Biden,Democratic,2640,9.57,27588,Republican
2020,Alabama,AL,Blount,County,Other,Other,237,0.86,27588,Republican
2020,Alabama,AL,Bullock,County,Donald Trump,Republican,1146,24.84,4613,Democratic
2020,Alabama,AL,Bullock,County,Joe Biden,Democratic,3446,74.7,4613,Democratic
2020,Alabama,AL,Bullock,County,Other,Other,21,0.46,4613,Democratic
2020,Alabama,AL,Butler,County,Donald Trump,Republican,5458,57.53,9488,Republican
2020,Alabama,AL,Butler,County,Joe Biden,Democratic,3965,41.79,9488,Republican
2020,Alabama,AL,Butler,County,Other,Other,65,0.69,9488,Republican
2020,Alabama,AL,Calhoun,County,Donald Trump,Republican,35101,68.85,50983,Republican
2020,Alabama,AL,Calhoun,County,Joe Biden,Democratic,15216,29.85,50983,Republican
2020,Alabama,AL,Calhoun,County,Other,Other,666,1.31,50983,Republican
2020,Alabama,AL,Chambers,County,Donald Trump,Republican,8753,57.27,15284,Republican
2020,Alabama,AL,Chambers,County,Joe Biden,Democratic,6365,41.64,15284,Republican
2020,Alabama,AL,Chambers,County,Other,Other,166,1.09,15284,Republican
2020,Alabama,AL,Cherokee,County,Donald Trump,Republican,10583,86.03,12301,Republican
2020,Alabama,AL,Cherokee,County,Joe Biden,Democratic,1624,13.2,12301,Republican
2020,Alabama,AL,Cherokee,County,Other,Other,94,0.76,12301,Republican
2020,Alabama,AL,Chilton,County,Donald Trump,Republican,16085,83.3,19310,Republican
2020,Alabama,AL,Chilton,County,Joe Biden,Democratic,3073,15.91,19310,Republican
2020,Alabama,AL,Chilton,County,Other,Other,152,0.79,19310,Republican
2020,Alabama,AL,Choctaw,County,Donald Trump,Republican,4296,57.56,7464,Republican
2020,Alabama,AL,Choctaw,County,Joe Biden,Democratic,3127,41.89,7464,Republican
2020,Alabama,AL,Choctaw,County,Other,Other,41,0.55,7464,Republican
2020,Alabama,AL,Clarke,County,Donald Trump,Republican,7324,55.76,13135,Republican
2020,Alabama,AL,Clarke,County,Joe Biden,Democratic,5755,43.81,13135,Republican
2020,Alabama,AL,Clarke,County,Other,Other,56,0.43,13135,Republican
2020,Alabama,AL,Clay,County,Donald Trump,Republican,5601,80.82,6930,Republican
2020,Alabama,AL,Clay,County,Joe Biden,Democratic,1267,18.28,6930,Republican
2020,Alabama,AL,Clay,County,Other,Other,62,0.89,6930,Republican
2020,Alabama,AL,Cleburne,County,Donald Trump,Republican,6484,89.72,7227,Republican
2020,Alabama,AL,Cleburne,County,Joe Biden,Democratic,675,9.34,7227,Republican
2020,Alabama,AL,Cleburne,County,Other,Other,68,0.94,7227,Republican
2020,Alabama,AL,Coffee,County,Donald Trump,Republican,16899,75.87,22275,Republican
2020,Alabama,AL,Coffee,County,Joe Biden,Democratic,5076,22.79,22275,Republican
2020,Alabama,AL,Coffee,County,Other,Other,300,1.35,22275,Republican
2020,Alabama,AL,Colbert,County,Donald Trump,Republican,19203,68.86,27886,Republican
2020,Alabama,AL,Colbert,County,Joe Biden,Democratic,8343,29.92,27886,Republican
2020,Alabama,AL,Colbert,County,Other,Other,340,1.22,27886,Republican
2020,Alabama,AL,Conecuh,County,Donald Trump,Republican,3442,53.44,6441,Republican
2020,Alabama,AL,Conecuh,County,Joe Biden,Democratic,2966,46.05,6441,Republican
2020,Alabama,AL,Conecuh,County,Other,Other,33,0.51,6441,Republican
2020,Alabama,AL,Coosa,County,Donald Trump,Republican,3631,66.27,5479,Republican
2020,Alabama,AL,Coosa,County,Joe Biden,Democratic,1796,32.78,5479,Republican
2020,Alabama,AL,Coosa,County,Other,Other,52,0.95,5479,Republican
2020,Alabama,AL,Covington,County,Donald Trump,Republican,14586,83.68,17430,Republican
2020,Alabama,AL,Covington,County,Joe Biden,Democratic,2721,15.61,17430,Republican
2020,Alabama,AL,Covington,County,Other,Other,123,0.71,17430,Republican
2020,Alabama,AL,Crenshaw,County,Donald Trump,Republican,4864,73.51,6617,Republican
2020,Alabama,AL,Crenshaw,County,Joe Biden,Democratic,1700,25.69,6617,Republican
2020,Alabama,AL,Crenshaw,County,Other,Other,53,0.8,6617,Republican
2020,Alabama,AL,Cullman,County,Donald Trump,Republican,36880,88.12,41851,Republican
2020,Alabama,AL,Cullman,County,Joe Biden,Democratic,4478,10.7,41851,Republican
2020,Alabama,AL,Cullman,County,Other,Other,493,1.18,41851,Republican
2020,Alabama,AL,Dale,County,Donald Trump,Republican,14303,72.46,19738,Republican
2020,Alabama,AL,Dale,County,Joe Biden,Democratic,5170,26.19,19738,Republican
2020,Alabama,AL,Dale,County,Other,Other,265,1.34,19738,Republican
2020,Alabama,AL,Dallas,County,Donald Trump,Republican,5524,30.92,17864,Democratic
2020,Alabama,AL,Dallas,County,Joe Biden,Democratic,12230,68.46,17864,Democratic
2020,Alabama,AL,Dallas,County,Other,Other,110,0.62,17864,Democratic
2020,Alabama,AL,DeKalb,County,Donald Trump,Republican,24767,84.37,29356,Republican
2020,Alabama,AL,DeKalb,County,Joe Biden,Democratic,4281,14.58,29356,Republican
2020,Alabama,AL,DeKalb,County,Other,Other,308,1.05,29356,Republican
2020,Alabama,AL,Elmore,County,Donald Trump,Republican,30164,73.52,41030,Republican
2020,Alabama,AL,Elmore,County,Joe Biden,Democratic,10367,25.27,41030,Republican
2020,Alabama,AL,Elmore,County,Other,Other,499,1.22,41030,Republican
2020,Alabama,AL,Escambia,County,Donald Trump,Republican,10869,68.32,15910,Republican
2020,Alabama,AL,Escambia,County,Joe Biden,Democratic,4918,30.91,15910,Republican
2020,Alabama,AL,Escambia,County,Other,Other,123,0.77,15910,Republican
2020,Alabama,AL,Etowah,County,Donald Trump,Republican,35528,74.44,47728,Republican
2020,Alabama,AL,Etowah,County,Joe Biden,Democratic,11567,24.24,47728,Republican
2020,Alabama,AL,Etowah,County,Other,Other,633,1.33,47728,Republican
2020,Alabama,AL,Fayette,County,Donald Trump,Republican,7300,83.28,8766,Republican
2020,Alabama,AL,Fayette,County,Joe Biden,Democratic,1395,15.91,8766,Republican
2020,Alabama,AL,Fayette,County,Other,Other,71,0.81,8766,Republican
2020,Alabama,AL,Franklin,County,Donald Trump,Republican,10376,82.49,12578,Republican
2020,Alabama,AL,Franklin,County,Joe Biden,Democratic,2086,16.58,12578,Republican
2020,Alabama,AL,Franklin,County,Other,Other,116,0.92,12578,Republican
2020,Alabama,AL,Geneva,County,Donald Trump,Republican,10848,86.47,12545,Republican
2020,Alabama,AL,Geneva,County,Joe Biden,Democratic,1595,12.71,12545,Republican
