Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2004,Alaska,General,KTUU,2004-10-04,2004-10-04,2004-10-04,,,Murkowski,R,45%,False,"October 4, 2004"
2004,Alaska,General,KTUU,2004-10-18,2004-10-18,2004-10-18,,,Murkowski,R,45%,False,"October 18, 2004"
2004,Alaska,General,KTUU,2004-10-28,2004-10-28,2004-10-28,,,Murkowski,R,48%,False,"October 28, 2004"
2004,Alaska,General,KTUU,2004-10-04,2004-10-04,2004-10-04,,,Knowles,D,48%,False,"October 4, 2004"
2004,Alaska,General,KTUU,2004-10-18,2004-10-18,2004-10-18,,,Knowles,D,47%,False,"October 18, 2004"
2004,Alaska,General,KTUU,2004-10-28,2004-10-28,2004-10-28,,,Knowles,D,43%,False,"October 28, 2004"
2004,Arkansas,General,SurveyUSA,2004-10-31 to 2004-11-01,2004-10-31,2004-11-01,549 (LV),4.3,Blanche Lincoln,D,53%,True,"October 31 – November 1, 2004"
2004,Arkansas,General,SurveyUSA,2004-10-31 to 2004-11-01,2004-10-31,2004-11-01,549 (LV),4.3,Jim Holt,R,43%,False,"October 31 – November 1, 2004"
2004,California,General,SurveyUSA,2004-10-29 to 2004-10-31,2004-10-29,2004-10-31,763 (LV),3.6,Barbara Boxer,D,57%,True,"October 29–31, 2004"
2004,California,General,SurveyUSA,2004-10-29 to 2004-10-31,2004-10-29,2004-10-31,763 (LV),3.6,Bill Jones,R,36%,False,"October 29–31, 2004"
2004,Colorado,General,Reuters,2004-10-29 to 2004-11-01,2004-10-29,2004-11-01,600 (LV),4.1,Pete Coors,R,44%,False,"October 29 – November 1, 2004"
2004,Colorado,General,SurveyUSA,2004-10-30 to 2004-10-31,2004-10-30,2004-10-31,701 (LV),3.8,Pete Coors,R,47%,False,"October 30–31, 2004"
2004,Colorado,General,Reuters,2004-10-28 to 2004-10-31,2004-10-28,2004-10-31,600 (LV),4.0,Pete Coors,R,44%,False,"October 28–31, 2004"
2004,Colorado,General,Reuters,2004-10-27 to 2004-10-30,2004-10-27,2004-10-30,600 (LV),4.1,Pete Coors,R,46%,False,"October 27–30, 2004"
2004,Colorado,General,Reuters,2004-10-26 to 2004-10-29,2004-10-26,2004-10-29,600 (LV),4.1,Pete Coors,R,45%,False,"October 26–29, 2004"
2004,Colorado,General,Reuters,2004-10-25 to 2004-10-28,2004-10-25,2004-10-28,600 (LV),4.1,Pete Coors,R,43%,False,"October 25–28, 2004"
2004,Colorado,General,Public Opinion Strategies,2004-10-25 to 2004-10-27,2004-10-25,2004-10-27,500 (LV),4.3,Pete Coors,R,42%,False,"October 25–27, 2004"
2004,Colorado,General,Mason-Dixon,2004-10-25 to 2004-10-27,2004-10-25,2004-10-27,625 (LV),4.8,Pete Coors,R,46%,False,"October 25–27, 2004"
2004,Colorado,General,Reuters,2004-10-24 to 2004-10-27,2004-10-24,2004-10-27,600 (LV),4.1,Pete Coors,R,42%,False,"October 24–27, 2004"
2004,Colorado,General,Reuters,2004-10-23 to 2004-10-26,2004-10-23,2004-10-26,600 (LV),4.1,Pete Coors,R,43%,False,"October 23–26, 2004"
2004,Colorado,General,Reuters,2004-10-22 to 2004-10-25,2004-10-22,2004-10-25,600 (LV),4.1,Pete Coors,R,44%,False,"October 22–25, 2004"
2004,Colorado,General,Reuters,2004-10-21 to 2004-10-24,2004-10-21,2004-10-24,600 (LV),4.1,Pete Coors,R,42%,False,"October 21–24, 2004"
2004,Colorado,General,SurveyUSA,2004-10-18 to 2004-10-20,2004-10-18,2004-10-20,596 (LV),4.1,Pete Coors,R,50%,False,"October 18–20, 2004"
2004,Colorado,General,The Pueblo Chieftain,2004-10-15 to 2004-10-19,2004-10-15,2004-10-19,600 (RV),4.0,Pete Coors,R,43%,False,"October 15–19, 2004"
2004,Colorado,General,Rasmussen Reports,2004-10-18,2004-10-18,2004-10-18,500 (LV),4.5,Pete Coors,R,49%,False,"October 18, 2004"
2004,Colorado,General,Gallup,2004-10-14 to 2004-10-17,2004-10-14,2004-10-17,666 (LV),4.0,Pete Coors,R,48%,False,"October 14–17, 2004"
2004,Colorado,General,Public Opinion Strategies,2004-10-13 to 2004-10-15,2004-10-13,2004-10-15,400 (V),4.9,Pete Coors,R,45%,False,"October 13–15, 2004"
2004,Colorado,General,SurveyUSA,2004-10-05 to 2004-10-07,2004-10-05,2004-10-07,594 (LV),4.1,Pete Coors,R,48%,False,"October 5–7, 2004"
2004,Colorado,General,Mason-Dixon,2004-10-04 to 2004-10-06,2004-10-04,2004-10-06,630 (RV),4.0,Pete Coors,R,44%,False,"October 4–6, 2004"
2004,Colorado,General,Gallup,2004-10-03 to 2004-10-06,2004-10-03,2004-10-06,667 (LV),5.0,Pete Coors,R,43%,False,"October 3–6, 2004"
2004,Colorado,General,SurveyUSA,2004-09-21 to 2004-09-23,2004-09-21,2004-09-23,625 (LV),4.0,Pete Coors,R,51%,False,"September 21–23, 2004"
2004,Colorado,General,Rasmussen Reports,2004-09-16,2004-09-16,2004-09-16,500 (LV),4.3,Pete Coors,R,49%,False,"September 16, 2004"
2004,Colorado,General,The Pueblo Chieftain,2004-09-14 to 2004-09-18,2004-09-14,2004-09-18,600 (RV),4.0,Pete Coors,R,45%,False,"September 14–18, 2004"
2004,Colorado,General,Tarrance Group,2004-09-14 to 2004-09-16,2004-09-14,2004-09-16,,4.5,Pete Coors,R,44%,False,"September 14–16, 2004"
2004,Colorado,General,Public Opinion Strategies,2004-10-01 to 2004-10-10,2004-10-01,2004-10-10,"September 12–13, 2004",,Pete Coors,R,± 4.3%,False,"archive-date=October 10, 2004}}"
2004,Colorado,General,Tarrance Group,2004-08-24 to 2004-08-26,2004-08-24,2004-08-26,600 (LV),4.0,Pete Coors,R,43%,False,"August 24–26, 2004"
2004,Colorado,General,Rasmussen Reports,2004-08-19,2004-08-19,2004-08-19,500 (LV),4.5,Pete Coors,R,45%,False,"August 19, 2004"
2004,Colorado,General,SurveyUSA,2004-08-14 to 2004-08-16,2004-08-14,2004-08-16,618 (LV),4.0,Pete Coors,R,48%,False,"August 14–16, 2004"
2004,Colorado,General,Daily Kos,2004-08,2004-08-01,2004-08-31,,3.5,Pete Coors,R,42%,False,August 2004
2004,Colorado,General,Mason-Dixon,2004-06-15 to 2004-06-18,2004-06-15,2004-06-18,800 (RV),3.5,Pete Coors,R,40%,False,"June 15–18, 2004"
2004,Colorado,General,Public Opinion Strategies,2004-04-20 to 2004-04-24,2004-04-20,2004-04-24,600 (RV),,Pete Coors,R,36%,False,"April 20–24, 2004"
2004,Colorado,General,Rasmussen Reports,2004-04-14,2004-04-14,2004-04-14,500 (LV),4.3,Pete Coors,R,41%,False,"April 14, 2004"
2004,Colorado,General,Mason-Dixon,2004-06-15 to 2004-06-18,2004-06-15,2004-06-18,800 (RV),3.5,Pete Coors,R,45%,False,"June 15–18, 2004"
2004,Colorado,General,Reuters,2004-10-29 to 2004-11-01,2004-10-29,2004-11-01,600 (LV),4.1,Ken Salazar,D,52%,False,"October 29 – November 1, 2004"
2004,Colorado,General,SurveyUSA,2004-10-30 to 2004-10-31,2004-10-30,2004-10-31,701 (LV),3.8,Ken Salazar,D,51%,False,"October 30–31, 2004"
2004,Colorado,General,Reuters,2004-10-28 to 2004-10-31,2004-10-28,2004-10-31,600 (LV),4.0,Ken Salazar,D,52%,False,"October 28–31, 2004"
2004,Colorado,General,Reuters,2004-10-27 to 2004-10-30,2004-10-27,2004-10-30,600 (LV),4.1,Ken Salazar,D,49%,False,"October 27–30, 2004"
2004,Colorado,General,Reuters,2004-10-26 to 2004-10-29,2004-10-26,2004-10-29,600 (LV),4.1,Ken Salazar,D,50%,False,"October 26–29, 2004"
2004,Colorado,General,Reuters,2004-10-25 to 2004-10-28,2004-10-25,2004-10-28,600 (LV),4.1,Ken Salazar,D,52%,False,"October 25–28, 2004"
2004,Colorado,General,Public Opinion Strategies,2004-10-25 to 2004-10-27,2004-10-25,2004-10-27,500 (LV),4.3,Ken Salazar,D,48%,False,"October 25–27, 2004"
2004,Colorado,General,Mason-Dixon,2004-10-25 to 2004-10-27,2004-10-25,2004-10-27,625 (LV),4.8,Ken Salazar,D,46%,False,"October 25–27, 2004"
2004,Colorado,General,Reuters,2004-10-24 to 2004-10-27,2004-10-24,2004-10-27,600 (LV),4.1,Ken Salazar,D,53%,False,"October 24–27, 2004"
2004,Colorado,General,Reuters,2004-10-23 to 2004-10-26,2004-10-23,2004-10-26,600 (LV),4.1,Ken Salazar,D,53%,False,"October 23–26, 2004"
2004,Colorado,General,Reuters,2004-10-22 to 2004-10-25,2004-10-22,2004-10-25,600 (LV),4.1,Ken Salazar,D,50%,False,"October 22–25, 2004"
2004,Colorado,General,Reuters,2004-10-21 to 2004-10-24,2004-10-21,2004-10-24,600 (LV),4.1,Ken Salazar,D,51%,False,"October 21–24, 2004"
2004,Colorado,General,SurveyUSA,2004-10-18 to 2004-10-20,2004-10-18,2004-10-20,596 (LV),4.1,Ken Salazar,D,46%,False,"October 18–20, 2004"
2004,Colorado,General,The Pueblo Chieftain,2004-10-15 to 2004-10-19,2004-10-15,2004-10-19,600 (RV),4.0,Ken Salazar,D,47%,False,"October 15–19, 2004"
2004,Colorado,General,Rasmussen Reports,2004-10-18,2004-10-18,2004-10-18,500 (LV),4.5,Ken Salazar,D,48%,False,"October 18, 2004"
2004,Colorado,General,Gallup,2004-10-14 to 2004-10-17,2004-10-14,2004-10-17,666 (LV),4.0,Ken Salazar,D,49%,False,"October 14–17, 2004"
2004,Colorado,General,Public Opinion Strategies,2004-10-13 to 2004-10-15,2004-10-13,2004-10-15,400 (V),4.9,Ken Salazar,D,40%,False,"October 13–15, 2004"
2004,Colorado,General,SurveyUSA,2004-10-05 to 2004-10-07,2004-10-05,2004-10-07,594 (LV),4.1,Ken Salazar,D,48%,False,"October 5–7, 2004"
2004,Colorado,General,Mason-Dixon,2004-10-04 to 2004-10-06,2004-10-04,2004-10-06,630 (RV),4.0,Ken Salazar,D,46%,False,"October 4–6, 2004"
2004,Colorado,General,Gallup,2004-10-03 to 2004-10-06,2004-10-03,2004-10-06,667 (LV),5.0,Ken Salazar,D,54%,False,"October 3–6, 2004"
2004,Colorado,General,SurveyUSA,2004-09-21 to 2004-09-23,2004-09-21,2004-09-23,625 (LV),4.0,Ken Salazar,D,46%,False,"September 21–23, 2004"
2004,Colorado,General,Rasmussen Reports,2004-09-16,2004-09-16,2004-09-16,500 (LV),4.3,Ken Salazar,D,48%,False,"September 16, 2004"
