Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
1970,New Jersey,General,RSCC,1970-10-15,1970-10-15,1970-10-15,,,Harrison Williams,D,36%,False,"October 15, 1970"
1970,New Jersey,General,RSCC,1970-10-15,1970-10-15,1970-10-15,,,Nelson Gross,R,32%,False,"October 15, 1970"
1978,New Jersey,General,Rutgers-Eagleton,1978-05-07 to 1978-05-16,1978-05-07,1978-05-16,793 RV,,Bill Bradley,D,36%,False,"May 7–16, 1978"
1978,New Jersey,General,Rutgers-Eagleton,1978-05-07 to 1978-05-16,1978-05-07,1978-05-16,793 RV,,Jeffrey Bell,R,17%,False,"May 7–16, 1978"
1978,New Jersey,General,Rutgers-Eagleton,1978-10-23 to 1978-10-29,1978-10-23,1978-10-29,946 RV,,Bill Bradley,D,50%,False,"October 23–29, 1978"
1978,New Jersey,General,Rutgers-Eagleton,1978-10-23 to 1978-10-29,1978-10-23,1978-10-29,946 RV,,Jeffrey Bell,R,32%,False,"October 23–29, 1978"
1980,New York,General,New York Daily News,1980-10,1980-10-01,1980-10-31,"2,479 (RV)",,Al D'Amato,Unknown,34%,False,October 1980
1980,New York,General,New York Daily News,1980-10,1980-10-01,1980-10-31,"2,479 (RV)",,Elizabeth Holtzman,Unknown,29%,False,October 1980
1980,New York,General,New York Daily News,1980-10,1980-10-01,1980-10-31,"2,479 (RV)",,Jacob Javits,Unknown,23%,True,October 1980
1982,New Jersey,General,Rutgers-Eagleton Poll,1982-09-14 to 1982-09-25,1982-09-14,1982-09-25,756 RV,3.7,Frank Lautenberg,D,32%,False,"September 14–25, 1982"
1982,New Jersey,General,Rutgers-Eagleton Poll,1982-09-14 to 1982-09-25,1982-09-14,1982-09-25,756 RV,3.7,Millicent Fenwick,R,50%,False,"September 14–25, 1982"
1982,New Jersey,General,Rutgers-Eagleton Poll,1982-10-18 to 1982-10-23,1982-10-18,1982-10-23,500 LV,,Frank Lautenberg,D,40%,False,"October 18–23, 1982"
