Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
1957,Texas (special),1957 U.S. Senate special election,General,Winning,False,Ralph W. Yarborough,Democratic Party (United States),"364,605",38.09%
1957,Texas (special),1957 U.S. Senate special election,General,Candidate,False,Martin Dies Jr.,Democratic Party (United States),"290,803",30.38%
1957,Texas (special),1957 U.S. Senate special election,General,Candidate,False,Thad Hutcheson,Republican Party (United States),"219,591",22.94%
1957,Texas (special),1957 U.S. Senate special election,General,Candidate,False,Searcy Bracewell,Democratic Party (United States),"33,384",3.49%
1957,Texas (special),1957 U.S. Senate special election,General,Candidate,False,James P. Hart,Democratic Party (United States),"19,739",2.06%
1957,Texas (special),1957 U.S. Senate special election,General,Candidate,False,John C. White,Democratic Party (United States),"11,876",1.24%
1957,Texas (special),1957 U.S. Senate special election,General,Total,False,,,"957,298",100.00%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Winning,False,Ralph W. Hammonds,Democratic Party (US),"2,372",0.25%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Elmer Adams,Democratic Party (US),"2,228",0.23%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,M. T. Banks,Democratic Party (US),"2,153",0.23%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Frank G. Cortez,Democratic Party (US),"1,350",0.14%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Charles W. Hill,Democratic Party (US),"1,025",0.11%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Jacob Bergolofsky,Democratic Party (US),890,0.09%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,J. Cal Courtney,Democratic Party (US),879,0.09%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Hugh Wilson,Democratic Party (US),851,0.09%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,J. Perrin Willis,Democratic Party (US),817,0.09%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Charles O. Foerster Jr.,Democratic Party (US),776,0.08%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Curtis Ford,Democratic Party (US),767,0.08%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,R. Waire Currin,Democratic Party (US),646,0.07%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Ted Bisland,Democratic Party (US),831,0.08%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,John C. Burns,Democratic Party (US),600,0.06%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,H. J. Antoine,Republican Party (US),576,0.06%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,H. Frank Connally,Walter S. McNutt,500,0.05%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Candidate,False,Clyde R. Oms,Democratic Party (US),356,0.04%
1957,Texas (special),"Minor candidates |state=autocollapse""",General,Total,False,,,"17,300",1.81%
