Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1960,Alaska,General election results,General,Winning,False,Democratic Party (United States),Bob Bartlett (inc.),"38,041",63.43%
1960,Alaska,General election results,General,Candidate,False,Republican Party (United States),Lee McKinley,"21,937",36.58%
1960,Alaska,General election results,General,Total,False,,,"59,978",100.00%
1960,Arkansas,1960 U.S. Senate election in Arkansas,General,Winning,True,Democratic Party (United States),John L. McClellan,"377,036",99.88%
1960,Colorado,General election results,General,Winning,False,Republican Party (United States),Gordon Allott (inc.),"389,428",53.52%
1960,Colorado,General election results,General,Candidate,False,Democratic Party (United States),Robert Lee Knous,"334,854",46.02%
1960,Colorado,General election results,General,Candidate,False,Independent (politician),William R. Casey,"3,351",0.46%
1960,Colorado,General election results,General,Total,False,,,"634,837",100.00%
1960,Delaware,General election results,General,Winning,False,Republican Party (United States),J. Caleb Boggs,"98,874",50.71%
1960,Delaware,General election results,General,Candidate,False,Democratic Party (United States),J. Allen Frear Jr. (inc.),"96,090",49.29%
1960,Delaware,General election results,General,Total,False,,,"164,531",100.00%
1960,Georgia,1960 U.S. Senate election in Georgia,General,Winning,True,Democratic Party (United States),Richard Russell Jr.,"576,140",99.94%
1960,Illinois,"United States Senate election in Illinois, 1966",General,Winning,True,Democratic Party (US),Paul H. Douglas,"2,530,943",54.63%
1960,Illinois,"United States Senate election in Illinois, 1966",General,Candidate,False,Republican Party (US),Samuel W. Witwer,"2,093,846",45.20%
1960,Illinois,"United States Senate election in Illinois, 1966",General,Candidate,False,Socialist Labor Party of America,Louis Fisher,"8,007",0.17%
1960,Iowa,1960 U.S. Senate election in Iowa,General,Winning,False,Republican Party (United States),Jack Miller,"642,643",51.92%
1960,Iowa,1960 U.S. Senate election in Iowa,General,Candidate,False,Democratic Party (United States),Herschel Loveless,"595,119",48.08%
1960,Iowa,1960 U.S. Senate election in Iowa,General,Total,False,,,"1,237,762",100.00%
1960,Kentucky,1960 U.S. Senate election in Kentucky,General,Winning,True,Republican Party (United States),John Sherman Cooper,"644,087",59.15%
1960,Kentucky,1960 U.S. Senate election in Kentucky,General,Candidate,False,Democratic Party (United States),Keen Johnson,"444,830",40.85%
1960,Kentucky,1960 U.S. Senate election in Kentucky,General,Total,False,,,"1,088,917",100.00%
1960,Maine,1960 U.S. Senate election in Maine,General,Winning,True,Republican Party (United States),Margaret Chase Smith,"256,890",61.65%
1960,Maine,1960 U.S. Senate election in Maine,General,Candidate,False,Democratic Party (United States),Lucia Cormier,"159,809",38.35%
1960,Maine,1960 U.S. Senate election in Maine,General,Total,False,,,"416,699",100.00%
1960,Massachusetts,"1960 Democratic convention, U.S. Senate balloting",General,Winning,False,Democratic Party (US),Foster Furcolo,"1,189",78.22%
1960,Massachusetts,"1960 Democratic convention, U.S. Senate balloting",General,Candidate,False,Democratic Party (US),Thomas J. O'Connor,331,21.78%
1960,Massachusetts,"1960 Democratic convention, U.S. Senate balloting",General,Total,False,,,"1,520",100.00%
1960,Massachusetts,General election,General,Winning,True,Republican Party (US),Leverett Saltonstall,"1,358,556",56.19%
1960,Massachusetts,General election,General,Candidate,False,Democratic Party (US),Thomas J. O'Connor,"1,050,725",43.46%
1960,Massachusetts,General election,General,Candidate,False,Socialist Labor Party of America,Lawrence Gilfedder,"5,735",0.24%
1960,Massachusetts,General election,General,Candidate,False,Prohibition Party,Mark R. Shaw,"2,794",0.11%
1960,Massachusetts,General election,General,Total,False,,,"2,417,810",100.00%
1960,Michigan,1960 U.S. Senate election in Michigan,General,Winning,True,Democratic Party (US),Patrick V. McNamara,"1,669,179",51.73%
1960,Michigan,1960 U.S. Senate election in Michigan,General,Candidate,False,Republican Party (US),Alvin Morell Bentley,"1,548,873",48.00%
1960,Michigan,1960 U.S. Senate election in Michigan,General,Candidate,False,Socialist Workers Party (United States),Frank Lovell,"3,282",0.10%
1960,Michigan,1960 U.S. Senate election in Michigan,General,Candidate,False,Prohibition Party (US),Rollin M. Severance,"2,273",0.07%
1960,Michigan,1960 U.S. Senate election in Michigan,General,Candidate,False,Socialist Labor Party (United States),James Sim,"1,565",0.05%
1960,Michigan,1960 U.S. Senate election in Michigan,General,Candidate,False,Independent (politician),Alvin Reynolds,"1,465",0.05%
1960,Michigan,1960 U.S. Senate election in Michigan,General,Total,False,,,"3,226,637",100.00%
1960,Minnesota,General election results,General,Winning,True,Minnesota Democratic–Farmer–Labor Party,Hubert H. Humphrey,"884,168",57.53%
1960,Minnesota,General election results,General,Candidate,False,Republican Party of Minnesota,P. Kenneth Peterson,"648,586",42.20%
1960,Minnesota,General election results,General,Candidate,False,Socialist Workers Party (United States),Carl Feingold,"4,085",0.27%
1960,Minnesota,General election results,General,Total,False,,,"1,536,839",100.00%
1960,Mississippi,General election results,General,Winning,False,Democratic Party (United States),James Eastland (inc.),"244,341",91.81%
1960,Mississippi,General election results,General,Candidate,False,Republican Party (United States),Joe A. Moore,"21,807",8.19%
1960,Mississippi,General election results,General,Total,False,,,"266,148",100.00%
1960,Missouri (special),1960 United States Senate special election in Missouri,General,Winning,True,Democratic Party (United States),Edward V. Long,"999,656",53.17
1960,Missouri (special),1960 United States Senate special election in Missouri,General,Candidate,False,Republican Party (United States),Lon Hocker,"880,576",46.83
1960,Montana,"United States Senate election in Montana, 1960",General,Winning,False,Democratic Party (United States),Lee Metcalf,"140,331",50.73%
1960,Montana,"United States Senate election in Montana, 1960",General,Candidate,False,Republican Party (United States),Orvin B. Fjare,"136,281",49.27%
1960,Nebraska,1960 United States Senate election in Nebraska,General,Winning,False,Republican Party (United States),Carl Curtis (inc.),"352,748",58.91%
1960,Nebraska,1960 United States Senate election in Nebraska,General,Candidate,False,Democratic Party (United States),Robert B. Conrad,"245,837",41.06%
1960,Nebraska,1960 United States Senate election in Nebraska,General,Write-in,False,,,158,0.03%
1960,Nebraska,1960 United States Senate election in Nebraska,General,Total,False,,,"598,743",100.00%
1960,New Jersey,1960 United States Senate election in New Jersey,General,Winning,True,Republican Party (United States),Clifford P. Case,"1,483,832",55.69%
1960,New Jersey,1960 United States Senate election in New Jersey,General,Candidate,False,Democratic Party (United States),Thorn Lord,"1,151,385",43.21%
1960,New Jersey,1960 United States Senate election in New Jersey,General,Candidate,False,New Jersey Conservative Party,Winifred O. Perry,"13,756",0.52%
1960,New Jersey,1960 United States Senate election in New Jersey,General,Candidate,False,Socialist Workers Party (United States),Gladys Grauer,"11,784",0.44%
1960,New Jersey,1960 United States Senate election in New Jersey,General,Candidate,False,Socialist Labor Party of America,Albert Ronis,"3,599",0.14%
1960,North Carolina,1960 U.S. Senate election in North Carolina,General,Winning,True,Democratic Party (United States),B. Everett Jordan,"793,521",61.44
1960,North Carolina,1960 U.S. Senate election in North Carolina,General,Candidate,False,Republican Party (United States),R. Kyle Hayes,"497,964",38.56
1960,North Carolina,1960 U.S. Senate election in North Carolina,General,Total,False,,,"1,291,485",100.00%
1960,North Dakota (special),"1960 United States Senate special election, North Dakota",General,Winning,False,North Dakota Democratic–Nonpartisan League Party,Quentin Burdick,"104,593",49.72%
1960,North Dakota (special),"1960 United States Senate special election, North Dakota",General,Candidate,False,Republican Party (US),John E. Davis,"103,475",49.19%
1960,North Dakota (special),"1960 United States Senate special election, North Dakota",General,Candidate,False,Independent (US),Eugene Van Der Hoeven,"1,337",0.64%
