Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2012,Arizona,Republican Primary,Public Policy Polling,2012-05-17 to 2012-05-20,2012-05-17,2012-05-20,421,4.8,Wil Cardon,R,20%,False,"May 17–20, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2012-02-17 to 2012-02-19,2012-02-17,2012-02-19,412,4.8,Wil Cardon,R,7%,False,"February 17–19, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Wil Cardon,R,7%,False,"November 17–20, 2011"
2012,Arizona,Republican Primary,Magellan Strategies,2011-11-14 to 2011-11-15,2011-11-14,2011-11-15,722,3.6,Wil Cardon,R,4%,False,"November 14–15, 2011"
2012,Arizona,Republican Primary,Public Policy Polling,2012-05-17 to 2012-05-20,2012-05-17,2012-05-20,421,4.8,Jeff Flake,R,42%,False,"May 17–20, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2012-02-17 to 2012-02-19,2012-02-17,2012-02-19,412,4.8,Jeff Flake,R,56%,False,"February 17–19, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Jeff Flake,R,53%,False,"November 17–20, 2011"
2012,Arizona,Republican Primary,Magellan Strategies,2011-11-14 to 2011-11-15,2011-11-14,2011-11-15,722,3.6,Jeff Flake,R,52%,False,"November 14–15, 2011"
2012,Arizona,Republican Primary,Public Policy Polling,2012-05-17 to 2012-05-20,2012-05-17,2012-05-20,421,4.8,Bryan Hackbarth,R,3%,False,"May 17–20, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2012-02-17 to 2012-02-19,2012-02-17,2012-02-19,412,4.8,Bryan Hackbarth,R,5%,False,"February 17–19, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Bryan Hackbarth,R,5%,False,"November 17–20, 2011"
2012,Arizona,Republican Primary,Magellan Strategies,2011-11-14 to 2011-11-15,2011-11-14,2011-11-15,722,3.6,Bryan Hackbarth,R,1%,False,"November 14–15, 2011"
2012,Arizona,Republican Primary,Public Policy Polling,2012-05-17 to 2012-05-20,2012-05-17,2012-05-20,421,4.8,Doug McKee,R,1%,False,"May 17–20, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2012-02-17 to 2012-02-19,2012-02-17,2012-02-19,412,4.8,Doug McKee,R,1%,False,"February 17–19, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Doug McKee,R,1%,False,"November 17–20, 2011"
2012,Arizona,Republican Primary,Magellan Strategies,2011-11-14 to 2011-11-15,2011-11-14,2011-11-15,722,3.6,Doug McKee,R,1%,False,"November 14–15, 2011"
2012,Arizona,Republican Primary,Public Policy Polling,2012-05-17 to 2012-05-20,2012-05-17,2012-05-20,421,4.8,Clair Van Steenwyk,R,2%,False,"May 17–20, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2012-02-17 to 2012-02-19,2012-02-17,2012-02-19,412,4.8,Clair Van Steenwyk,R,1%,False,"February 17–19, 2012"
2012,Arizona,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Clair Van Steenwyk,R,2%,False,"November 17–20, 2011"
2012,Arizona,Republican Primary,Magellan Strategies,2011-11-14 to 2011-11-15,2011-11-14,2011-11-15,722,3.6,Clair Van Steenwyk,R,2%,False,"November 14–15, 2011"
2012,Arizona,Democratic Primary,Public Policy Polling,2011-04-28 to 2011-05-01,2011-04-28,2011-05-01,300,5.7,Dennis Burke,D,2%,False,"April 28 – May 1, 2011"
2012,Arizona,Democratic Primary,Public Policy Polling,2011-04-28 to 2011-05-01,2011-04-28,2011-05-01,300,5.7,Rodney Glassman,D,5%,False,"April 28 – May 1, 2011"
2012,Arizona,Democratic Primary,Public Policy Polling,2011-04-28 to 2011-05-01,2011-04-28,2011-05-01,300,5.7,Terry Goddard,D,50%,False,"April 28 – May 1, 2011"
2012,Arizona,Democratic Primary,Public Policy Polling,2011-04-28 to 2011-05-01,2011-04-28,2011-05-01,300,5.7,Phil Gordan,D,8%,False,"April 28 – May 1, 2011"
2012,Arizona,Democratic Primary,Public Policy Polling,2011-04-28 to 2011-05-01,2011-04-28,2011-05-01,300,5.7,Harry Mitchell,D,11%,False,"April 28 – May 1, 2011"
2012,Arizona,Democratic Primary,Public Policy Polling,2011-04-28 to 2011-05-01,2011-04-28,2011-05-01,300,5.7,Ed Pastor,D,5%,False,"April 28 – May 1, 2011"
2012,Arizona,Democratic Primary,Public Policy Polling,2011-04-28 to 2011-05-01,2011-04-28,2011-05-01,300,5.7,Felecia Rotellini,D,6%,False,"April 28 – May 1, 2011"
2012,Connecticut,Democratic Primary,Public Policy Polling,2011-03-17 to 2011-03-20,2011-03-17,2011-03-20,400,4.9,Susan Bysiewicz,D,38%,False,"March 17–20, 2011"
2012,Connecticut,Democratic Primary,Quinnipiac,2011-09-08 to 2011-09-13,2011-09-08,2011-09-13,447,4.6,Susan Bysiewicz,D,26%,False,"September 8–13, 2011"
2012,Connecticut,Democratic Primary,Public Policy Polling,2011-09-22 to 2011-09-25,2011-09-22,2011-09-25,400,4.9,Susan Bysiewicz,D,33%,False,"September 22–25, 2011"
