Year,State,Election,Election_Type,Row_Type,Incumbent,candidate,party,votes,percentage
1957,Wisconsin (special),Democratic primary results,Primary,Winning,False,William Proxmire,Democratic Party (United States),"86,341",60.29
1957,Wisconsin (special),Democratic primary results,Primary,Candidate,False,Clement J. Zablocki,Democratic Party (United States),"56,817",39.67
1957,Wisconsin (special),Democratic primary results,Primary,Candidate,False,,Scattering,62,0.04
1957,Wisconsin (special),Democratic primary results,Primary,Total,False,,,"143,220",100.00
1957,Wisconsin (special),Republican primary results,Primary,Winning,False,Walter J. Kohler Jr.,Republican Party (United States),"109,256",34.43
1957,Wisconsin (special),Republican primary results,Primary,Candidate,False,Glenn Robert Davis,Republican Party (United States),"100,532",31.68
1957,Wisconsin (special),Republican primary results,Primary,Candidate,False,Alvin E. O'Konski,Republican Party (United States),"66,784",21.05
1957,Wisconsin (special),Republican primary results,Primary,Candidate,False,Warren P. Knowles,Republican Party (United States),"23,996",7.56
1957,Wisconsin (special),Republican primary results,Primary,Candidate,False,Henry P. Hughes,Republican Party (United States),"7,488",2.36
1957,Wisconsin (special),Republican primary results,Primary,Candidate,False,Gerald D. Lorge,Republican Party (United States),"7,326",2.31
1957,Wisconsin (special),Republican primary results,Primary,Candidate,False,John C. Schafer,Republican Party (United States),"1,906",0.60
1957,Wisconsin (special),Republican primary results,Primary,Candidate,False,,Write-in,44,0.01
1957,Wisconsin (special),Republican primary results,Primary,Total,False,,,"317,332",100.00
