Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
2026,Alabama,Republican primary results,Primary,Winning,False,Republican Party (United States),Barry Moore,"189,067",39.2
2026,Alabama,Republican primary results,Primary,Winning,False,Republican Party (United States),Jared Hudson,"123,672",25.6
2026,Alabama,Republican primary results,Primary,Candidate,False,Republican Party (United States),Steve Marshall,"118,361",24.5
2026,Alabama,Republican primary results,Primary,Candidate,False,Republican Party (United States),Rodney Walker,"19,697",4.1
2026,Alabama,Republican primary results,Primary,Candidate,False,Republican Party (United States),Seth Burton,"15,142",3.1
2026,Alabama,Republican primary results,Primary,Candidate,False,Republican Party (United States),Dale Shelton Deas Jr.,"10,117",2.1
2026,Alabama,Republican primary results,Primary,Candidate,False,Republican Party (United States),Morgan Murphy (withdrawn),"6,485",1.3
2026,Alabama,Republican primary results,Primary,Total,False,,,"482,541",100.0
2026,Alabama,Republican primary runoff results,Primary,Winning,False,Republican Party (United States),Barry Moore,"173,674",55.8
2026,Alabama,Republican primary runoff results,Primary,Candidate,False,Republican Party (United States),Jared Hudson,"137,545",44.2
2026,Alabama,Republican primary runoff results,Primary,Total,False,,,"311,219",100.0
2026,Alabama,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Everett Wess,"132,373",39.8
2026,Alabama,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Dakarai Larriett,"96,307",28.9
2026,Alabama,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Mark S. Wheeler II,"57,947",17.4
2026,Alabama,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Kyle Sweetser,"46,286",13.9
2026,Alabama,Democratic primary results,Primary,Total,False,,,"332,913",100.0
2026,Alabama,Democratic primary runoff results,Primary,Winning,False,Democratic Party (United States),Everett Wess,"49,396",54.6
2026,Alabama,Democratic primary runoff results,Primary,Candidate,False,Democratic Party (United States),Dakarai Larriett,"41,065",45.4
2026,Alabama,Democratic primary runoff results,Primary,Total,False,,,"90,461",100.0
2026,Alaska,Top-four primary results,Primary,Winning,False,Democratic Party (United States),Mary Peltola,"82,244",49.5
2026,Alaska,Top-four primary results,Primary,Winning,True,Republican Party (United States),Dan S. Sullivan,"68,726",41.4
2026,Alaska,Top-four primary results,Primary,Winning,False,Republican Party (United States),Gerald L. Heikes,"1,741",1.1
2026,Alaska,Top-four primary results,Primary,Candidate,False,Democratic Party (United States),David Leslie (withdrew),"1,850",1.1
2026,Alaska,Top-four primary results,Primary,Candidate,False,Democratic Party (United States),Carol Hafner,"1,009",0.6
2026,Alaska,Top-four primary results,Primary,Candidate,False,Republican Party (United States),Heather McElwain,972,0.6
2026,Alaska,Top-four primary results,Primary,Candidate,False,Republican Party (United States),Dustin Darden,808,0.5
2026,Alaska,Top-four primary results,Primary,Candidate,False,Libertarian Party (United States),Scott Kohlhaas,794,0.5
2026,Alaska,Top-four primary results,Primary,Candidate,False,Republican Party (United States),Richard Benedict Mayers,609,0.4
2026,Alaska,Top-four primary results,Primary,Candidate,False,Independent politician,Reece Roberts,602,0.4
2026,Alaska,Top-four primary results,Primary,Candidate,False,Independent politician,Sid Hill,522,0.3
2026,Alaska,Top-four primary results,Primary,Candidate,False,Republican Party (United States),Fred C. Grauberger,479,0.3
2026,Alaska,Top-four primary results,Primary,Candidate,False,Green Party (United States),Richard Grayson,432,0.3
2026,Alaska,Top-four primary results,Primary,Candidate,False,Independent politician,Shirley Saucerman,306,0.2
2026,Alaska,Top-four primary results,Primary,Total,False,,,"166,004",100.0
2026,Arkansas,Republican primary results,Primary,Winning,True,Republican Party (United States),Tom Cotton,"230,209",81.6
2026,Arkansas,Republican primary results,Primary,Total,False,,,"281,973",100.0
2026,Arkansas,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Hallie Shoffner,"102,289",78.3
2026,Arkansas,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Ethan Dunbar,"28,394",21.7
2026,Arkansas,Democratic primary results,Primary,Total,False,,,"130,683",100.0
2026,Colorado,Democratic primary results,Primary,Winning,True,Democratic Party (United States),John Hickenlooper,"472,870",52.8
2026,Colorado,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Julie Gonzales,"422,488",47.2
2026,Colorado,Democratic primary results,Primary,Total,False,,,"895,358",100.0
2026,Colorado,Republican primary results,Primary,Winning,False,Republican Party (United States),Mark Baisley,"445,352",100.0
2026,Colorado,Republican primary results,Primary,Total,False,,,"445,352",100.0
2026,Delaware,Democratic primary results,Primary,Candidate,True,Democratic Party (United States),Chris Coons,,
2026,Delaware,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Jeff Appelhans,,
2026,Delaware,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Eric No-Trump Hansen,,
