year,state,state_code,chamber,district,race,candidate,party,votes,percentage,winner,incumbent
2026,Alabama,AL,State House,10,special general,Marilyn Lands,Democratic,3715.0,62.3,True,False
2026,Alabama,AL,State House,10,special general,Teddy Powell,Republican,2236.0,37.5,False,False
2026,Alabama,AL,State House,1,general,Phillip Pettus,Republican,,,True,True
2026,Alabama,AL,State House,2,general,Ben Harrison (incumbent,Republican,,,True,False
2026,Alabama,AL,State House,2,general,Rick Pressnell,Democratic,,,False,False
2026,Alabama,AL,State House,3,general,Kerry Underwood,Republican,,,True,True
2026,Alabama,AL,State House,4,general,Parker Moore,Republican,,,True,True
2026,Alabama,AL,State House,4,general,Hanu Karlapalem,Democratic,,,False,False
2026,Alabama,AL,State House,5,general,Danny Crawford,Republican,,,True,True
2026,Alabama,AL,State House,5,general,Jessie Barcala,Democratic,,,False,False
2026,Alabama,AL,State House,6,general,Andy Whitt,Republican,,,True,True
2026,Alabama,AL,State House,7,general,Ernie Yarbrough,Republican,,,True,True
2026,Alabama,AL,State House,7,general,Trent Ford,Independent,,,False,False
2026,Alabama,AL,State House,7,general,Doc Mancuso,Independent,,,False,False
2026,Alabama,AL,State House,8,general,Patrick Johnson,Republican,,,True,False
2026,Alabama,AL,State House,8,general,Bruce Sparkman,Democratic,,,False,False
2026,Alabama,AL,State House,9,general,Scott Stadthagen,Republican,,,True,True
2026,Alabama,AL,State House,10,general,Marilyn Lands,Democratic,,,True,True
2026,Alabama,AL,State House,10,general,Aaron Thomas,Republican,,,False,False
2026,Alabama,AL,State House,11,general,Heath Allbright,Republican,,,True,True
2026,Alabama,AL,State House,12,general,Cindy Myrex,Republican,,,True,True
2026,Alabama,AL,State House,13,general,Mike Elliott,Republican,,,True,False
2026,Alabama,AL,State House,14,general,Tim Wadsworth,Republican,,,True,False
2026,Alabama,AL,State House,15,general,Leigh Hulsey,Republican,,,True,True
2026,Alabama,AL,State House,15,general,Nell Brown,Democratic,,,False,False
2026,Alabama,AL,State House,16,general,Bryan Brinyark,Republican,,,True,False
2026,Alabama,AL,State House,16,general,Christian Martin,Democratic,,,False,False
2026,Arkansas,AR,State House,35,general,Audrey P. Willis,Democratic,344,60.88,True,False
2026,Arkansas,AR,State House,35,general,Joyce Ann Gray,Democratic,221,39.12,False,False
2026,Arkansas,AR,State House,46,general,Tonya Fletcher,Republican,1497,31.49,True,False
2026,Arkansas,AR,State House,46,general,Curtis Varnell,Republican,1496,31.47,False,False
2026,Arkansas,AR,State House,52,general,Brent Montgomery,Republican,1290,50.41,True,False
2026,Arkansas,AR,State House,52,general,Kristain Thompson,Republican,1269,49.59,False,False
2026,Connecticut,CT,State House,1,general,Matthew Ritter,Democratic,,,True,True
2026,Connecticut,CT,State House,2,general,Raghib Allie-Brennan,Democratic,,,True,True
2026,Connecticut,CT,State House,2,general,Deborah Rizzo,Republican,,,False,False
2026,Connecticut,CT,State House,3,general,Minnie Gonzalez,Democratic,,,True,True
2026,Connecticut,CT,State House,4,general,Julio Concepcion,Democratic,,,True,True
2026,Connecticut,CT,State House,5,general,Kyle Anderson,Democratic,,,True,False
2026,Connecticut,CT,State House,6,general,James Sanchez,Democratic,,,True,True
2026,Connecticut,CT,State House,6,general,Nicole Roscoe,Republican,,,False,False
2026,Connecticut,CT,State House,7,general,Joshua M. Hall,Democratic,,,True,True
2026,Connecticut,CT,State House,8,general,William Gifford,Republican,,,True,False
2026,Connecticut,CT,State House,8,general,Francis Lombard,Democratic,,,False,False
2026,Connecticut,CT,State House,9,general,Jason Rojas,Democratic,,,True,True
2026,Connecticut,CT,State House,10,general,Angie Parkinson,Democratic,,,True,False
2026,Connecticut,CT,State House,10,general,Chris Tierinni,Republican,,,False,False
2026,Connecticut,CT,State House,11,general,Patrick Biggins,Democratic,,,True,True
2026,Connecticut,CT,State House,11,general,Salema Davis,Republican,,,False,False
2026,Connecticut,CT,State House,12,general,Geoff Luxenberg,Democratic,,,True,True
2026,Connecticut,CT,State House,13,general,Jason Doucette,Democratic,,,True,True
2026,Connecticut,CT,State House,13,general,Bianca Stanescu,Republican,,,False,False
2026,Connecticut,CT,State House,14,general,Tom Delnicki,Republican,,,True,True
2026,Connecticut,CT,State House,14,general,Harrison Amadasun,Democratic,,,False,False
2026,Connecticut,CT,State House,15,general,Bobby Gibson,Democratic,,,True,True
2026,Connecticut,CT,State House,15,general,Seth Pitts,Republican,,,False,False
2026,Connecticut,CT,State House,16,general,Melissa Osborne,Democratic,,,True,True
2026,Connecticut,CT,State House,16,general,Jason Levy,Republican,,,False,False
2026,Connecticut,CT,State House,17,general,Eleni Kavros DeGraw,Democratic,,,True,True
2026,Connecticut,CT,State House,17,general,Andrew Ziemba,Republican,,,False,False
2026,Connecticut,CT,State House,18,general,Tiffani McGinnis,Democratic,,,True,False
2026,Connecticut,CT,State House,18,general,Phillip Tummescheit,Republican,,,False,False
2026,Connecticut,CT,State House,19,general,Olalye Onikuyide,Democratic,,,True,False
2026,Connecticut,CT,State House,20,general,Kate Farrar,Democratic,,,True,True
2026,Connecticut,CT,State House,21,general,Mike Demicco,Democratic,,,True,True
2026,Connecticut,CT,State House,21,general,Gary Palumbo,Republican,,,False,False
2026,Connecticut,CT,State House,22,general,Rebecca Martinez,Democratic,,,True,True
2026,Connecticut,CT,State House,22,general,Richard Mette,Republican,,,False,False
2026,Connecticut,CT,State House,23,general,Barbara Labriola,Republican,,,True,False
2026,Connecticut,CT,State House,23,general,Jane Wisialowski,Democratic,,,False,False
2026,Connecticut,CT,State House,24,general,Manny Sanchez,Democratic,,,True,True
2026,Connecticut,CT,State House,24,general,Tina Santana,Republican,,,False,False
2026,Connecticut,CT,State House,25,general,Iris Sanchez,Democratic,,,True,True
2026,Connecticut,CT,State House,25,general,James Vaughan,Republican,,,False,False
2026,Connecticut,CT,State House,26,general,David DeFronzo,Democratic,,,True,True
2026,Connecticut,CT,State House,26,general,Sal Simsek,Republican,,,False,False
2026,Connecticut,CT,State House,27,general,Gary Turco,Democratic,,,True,True
2026,Connecticut,CT,State House,28,general,Amy Morrin Bello,Democratic,,,True,True
2026,Connecticut,CT,State House,28,general,William Davidson,Republican,,,False,False
2026,Connecticut,CT,State House,29,general,Kerry Szeps Wood,Democratic,,,True,True
2026,Connecticut,CT,State House,29,general,Stanley Stasiowski,Republican,,,False,False
2026,Connecticut,CT,State House,30,general,Donna Veach,Republican,,,True,True
2026,Connecticut,CT,State House,30,general,Linda Pierce,Democratic,,,False,False
2026,Connecticut,CT,State House,31,general,Moses Carelus,Democratic,59.0,62.8,True,False
2026,Connecticut,CT,State House,31,general,Jill Barry,Democratic,35.0,37.2,False,True
2026,Connecticut,CT,State House,32,general,Christie Carpino,Republican,,,True,True
2026,Connecticut,CT,State House,32,general,Marilyn Teitelbaum Dworkin,Democratic,,,False,False
2026,Connecticut,CT,State House,33,general,Brandon Chafee,Democratic,,,True,True
2026,Connecticut,CT,State House,34,general,Melissa Ziobron,Republican,,,True,False
2026,Connecticut,CT,State House,34,general,Meghan Rosenfeld,Democratic,,,False,False
2026,Connecticut,CT,State House,35,general,Chris Aniskovich,Republican,,,True,True
2026,Connecticut,CT,State House,35,general,Cinzia Lettieri,Democratic,,,False,False
2026,Connecticut,CT,State House,36,general,Renee LaMark Muir,Democratic,,,True,True
2026,Connecticut,CT,State House,36,general,Guy Tuccero,Republican,,,False,False
2026,Connecticut,CT,State House,37,general,Nick Menapace,Democratic,,,True,True
2026,Connecticut,CT,State House,37,general,Anne Santoro,Republican,,,False,False
2026,Connecticut,CT,State House,38,general,Nick Gauthier,Democratic,,,True,True
2026,Connecticut,CT,State House,38,general,John Foley,Republican,,,False,False
2026,Connecticut,CT,State House,39,general,Anthony Nolan,Democratic,,,True,True
2026,Connecticut,CT,State House,39,general,John Russell,Republican,,,False,False
2026,Connecticut,CT,State House,40,general,Dan Gaiewski,Democratic,,,True,True
2026,Connecticut,CT,State House,40,general,Isabelle Roode,Republican,,,False,False
2026,Connecticut,CT,State House,41,general,Aundre Bumgardner,Democratic,,,True,True
2026,Connecticut,CT,State House,41,general,Thaler Hefel,Republican,,,False,False
2026,Connecticut,CT,State House,42,general,Savet Constantine,Democratic,,,True,True
2026,Connecticut,CT,State House,43,general,Greg Howard,Republican,,,True,True
2026,Connecticut,CT,State House,43,general,Bill Heughins,Democratic,,,False,False
2026,Connecticut,CT,State House,44,general,Anne Dauphinais,Republican,,,True,True
2026,Connecticut,CT,State House,44,general,Samantha Derenthal,Democratic,,,False,False
2026,Connecticut,CT,State House,45,general,Brian Lanoue,Republican,,,True,True
2026,Connecticut,CT,State House,45,general,Matt Danieluk,Democratic,,,False,False
2026,Connecticut,CT,State House,46,general,Derell Wilson,Democratic,,,True,True
2026,Connecticut,CT,State House,46,general,Marica Wilbur,Republican,,,False,False
2026,Connecticut,CT,State House,47,general,Doug Dubitsky,Republican,,,True,True
2026,Connecticut,CT,State House,47,general,Marcus Palumbo,Democratic,,,False,False
2026,Connecticut,CT,State House,48,general,Mark DeCaprio,Republican,,,True,True
2026,Connecticut,CT,State House,48,general,Bob Fernandez,Democratic,,,False,False
2026,Connecticut,CT,State House,49,general,Susan Johnson,Democratic,,,True,True
2026,Connecticut,CT,State House,49,general,Brian Saucier,Republican,,,False,False
2026,Connecticut,CT,State House,50,general,Pat Boyd,Democratic,,,True,True
2026,Connecticut,CT,State House,50,general,Anthony Emilio,Republican,,,False,False
2026,Connecticut,CT,State House,51,general,Chris Stewart,Republican,,,True,True
2026,Connecticut,CT,State House,51,general,Lina Wagner,Democratic,,,False,False
2026,Connecticut,CT,State House,52,general,Kurt Vail,Republican,,,True,True
2026,Connecticut,CT,State House,52,general,Vincent Tocci,Democratic,,,False,False
2026,Connecticut,CT,State House,53,general,Tammy Nuccio,Republican,,,True,True
2026,Connecticut,CT,State House,53,general,Michelle Cunningham,Democratic,,,False,False
2026,Connecticut,CT,State House,54,general,Gregory Haddad,Democratic,,,True,True
2026,Connecticut,CT,State House,55,general,Steve Weir,Republican,,,True,True
2026,Connecticut,CT,State House,55,general,Ellen Paul,Democratic,,,False,False
2026,Connecticut,CT,State House,56,general,Kevin Brown,Democratic,,,True,True
2026,Connecticut,CT,State House,56,general,Andy Tedford,Republican,,,False,False
2026,Connecticut,CT,State House,57,general,Jaime Foster,Democratic,,,True,True
2026,Connecticut,CT,State House,58,general,John Santanella,Democratic,,,True,True
2026,Connecticut,CT,State House,58,general,Kelly Hemmeler,Republican,,,False,False
2026,Connecticut,CT,State House,59,general,Carol Hall,Republican,,,True,True
2026,Connecticut,CT,State House,59,general,Rick LeBorious,Democratic,,,False,False
2026,Connecticut,CT,State House,60,general,Jane Garibay,Democratic,,,True,True
2026,Connecticut,CT,State House,60,general,Chantelle Ankerman,Republican,,,False,False
2026,Connecticut,CT,State House,61,general,Tami Zawistowski,Republican,,,True,True
2026,Connecticut,CT,State House,61,general,James Mol,Democratic,,,False,False
2026,Connecticut,CT,State House,62,general,Mark Anderson,Republican,,,True,True
2026,Connecticut,CT,State House,62,general,Kim Becker,Democratic,,,False,False
2026,Connecticut,CT,State House,63,general,Jay Case,Republican,,,True,True
2026,Connecticut,CT,State House,63,general,Caitlin Hall,Democratic,,,False,False
2026,Connecticut,CT,State House,64,general,Maria Horn,Democratic,,,True,True
2026,Connecticut,CT,State House,64,general,Katelynn Borraiz,Republican,,,False,False
2026,Connecticut,CT,State House,65,general,Joe Canino,Republican,,,True,True
2026,Connecticut,CT,State House,65,general,Edward Corey,Democratic,,,False,False
2026,Connecticut,CT,State House,66,general,Karen Reddington-Hughes,Republican,,,True,True
2026,Connecticut,CT,State House,66,general,Suzanne Lovig,Democratic,,,False,False
2026,Connecticut,CT,State House,67,general,Bill Buckbee,Republican,,,True,True
2026,Connecticut,CT,State House,67,general,Alexandra Thomas,Democratic,,,False,False
2026,Connecticut,CT,State House,68,general,Joseph Polletta,Republican,,,True,True
2026,Connecticut,CT,State House,69,general,Jason Buchsbaum,Republican,,,True,True
2026,Connecticut,CT,State House,70,general,Seth Bronko,Republican,,,True,True
2026,Connecticut,CT,State House,70,general,Jeff Litke,Democratic,,,False,False
2026,Connecticut,CT,State House,71,general,William Pizzuto,Republican,,,True,True
2026,Connecticut,CT,State House,71,general,Stephen Farrucci III,Democratic,,,False,False
2026,Connecticut,CT,State House,72,general,Larry Butler,Democratic,,,True,True
2026,Connecticut,CT,State House,73,general,Ronald Napoli Jr.,Democratic,,,True,False
2026,Connecticut,CT,State House,73,general,Terence Lott Sr.,Republican,,,False,False
2026,Connecticut,CT,State House,74,general,Michael DiGiovancarlo,Democratic,,,True,True
2026,Connecticut,CT,State House,74,general,Ollie Gray III,Republican,,,False,False
2026,Connecticut,CT,State House,75,general,Geraldo Reyes,Democratic,,,True,True
2026,Connecticut,CT,State House,75,general,Faithalee Goclowski,Republican,,,False,False
2026,Connecticut,CT,State House,76,general,John Piscopo,Republican,,,True,True
2026,Connecticut,CT,State House,76,general,Jennifer Davis,Democratic,,,False,False
2026,Connecticut,CT,State House,77,general,Cara Pavalock-D'Amato,Republican,,,True,True
2026,Connecticut,CT,State House,77,general,DeWayne Wynn Jr.,Democratic,,,False,False
2026,Connecticut,CT,State House,78,general,Joe Hoxha,Republican,,,True,True
2026,Connecticut,CT,State House,78,general,Sean Moore,Democratic,,,False,False
2026,Connecticut,CT,State House,79,general,Mary Fortier,Democratic,,,True,True
2026,Connecticut,CT,State House,79,general,Cheryl Thibeault,Republican,,,False,False
2026,Connecticut,CT,State House,80,general,Gale Mastrofrancesco (incumbent)),Republican,,,True,False
2026,Connecticut,CT,State House,80,general,Cheryl Hilton,Democratic,,,False,False
2026,Connecticut,CT,State House,81,general,Chris Poulos,Democratic,,,True,True
2026,Connecticut,CT,State House,81,general,Timothy Wilk,Republican,,,False,False
2026,Connecticut,CT,State House,82,general,Michael Quinn,Democratic,,,True,True
2026,Connecticut,CT,State House,83,general,Chad Cardillo,Democratic,,,True,False
2026,Connecticut,CT,State House,83,general,Bob Ham,Republican,,,False,False
2026,Connecticut,CT,State House,84,general,Hilda Santiago,Democratic,,,True,True
2026,Connecticut,CT,State House,85,general,Samuel Carmody,Democratic,,,True,False
2026,Connecticut,CT,State House,85,general,Tom Laffin,Republican,,,False,False
2026,Connecticut,CT,State House,86,general,Vincent Candelora,Republican,,,True,True
2026,Connecticut,CT,State House,87,general,Dave Yaccarino,Republican,,,True,True
2026,Connecticut,CT,State House,87,general,Kathleen Kimball,Democratic,,,False,False
2026,Connecticut,CT,State House,88,general,Josh Elliott,Democratic,,,True,True
2026,Connecticut,CT,State House,88,general,Hudson Molinari,Republican,,,False,False
2026,Connecticut,CT,State House,89,general,Lezlye Zupkus,Republican,,,True,True
2026,Connecticut,CT,State House,90,general,Craig Fishbein,Republican,,,True,True
2026,Connecticut,CT,State House,90,general,David Fritz,Democratic,,,False,False
2026,Connecticut,CT,State House,91,general,Laurie Sweet,Democratic,,,True,True
2026,Connecticut,CT,State House,92,general,Eli Sabin,Democratic,,,True,False
2026,Connecticut,CT,State House,93,general,Toni Walker,Democratic,,,True,True
2026,Connecticut,CT,State House,94,general,Steven Winter,Democratic,,,True,True
2026,Connecticut,CT,State House,95,general,Juan Candelaria,Democratic,,,True,True
2026,Connecticut,CT,State House,96,general,Roland Lemar,Democratic,,,True,True
2026,Connecticut,CT,State House,97,general,Wildaliz Bermudez,Democratic,,,True,False
2026,Connecticut,CT,State House,97,general,Kimberely DeMayo,Republican,,,False,False
2026,Connecticut,CT,State House,98,general,Moira Rader,Democratic,,,True,True
2026,Connecticut,CT,State House,98,general,Carlyle Ciccone,Republican,,,False,False
2026,Connecticut,CT,State House,99,general,Joseph Zullo,Republican,,,True,True
2026,Connecticut,CT,State House,99,general,Karen Martin,Democratic,,,False,False
2026,Connecticut,CT,State House,100,general,Kai Juanna Belton,Democratic,,,True,True
2026,Connecticut,CT,State House,100,general,Susan Manke,Republican,,,False,False
2026,Connecticut,CT,State House,101,general,John-Michael Parker,Democratic,,,True,True
2026,Connecticut,CT,State House,101,general,Mary Ann Connelly,Republican,,,False,False
2026,Connecticut,CT,State House,102,general,Robin Comey,Democratic,,,True,True
2026,Connecticut,CT,State House,102,general,Paul Crisci,Republican,,,False,False
2026,Connecticut,CT,State House,103,general,Liz Linehan,Democratic,,,True,True
2026,Connecticut,CT,State House,103,general,Jeff Weiss,Republican,,,False,False
2026,Connecticut,CT,State House,104,general,Kara Rochelle,Democratic,,,True,True
2026,Connecticut,CT,State House,104,general,Daniel Sexton,Republican,,,False,False
2026,Connecticut,CT,State House,105,general,Nicole Klarides-Ditria,Republican,,,True,True
2026,Connecticut,CT,State House,105,general,Josh Beaupre,Democratic,,,False,False
2026,Connecticut,CT,State House,106,general,Mitch Bolinsky,Republican,,,True,True
2026,Connecticut,CT,State House,106,general,Michelle Embree Ku,Democratic,,,False,False
2026,Connecticut,CT,State House,107,general,Marty Foncello,Republican,,,True,True
2026,Connecticut,CT,State House,107,general,Julie Kerton,Democratic,,,False,False
