year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
1978,Alabama,AL,governor,1978 Alabama gubernatorial election,Winning,Fob James,Democratic,551786,72.59,True,False
1978,Alabama,AL,governor,1978 Alabama gubernatorial election,Candidate,Guy Hunt,Republican,196693,25.88,False,False
1978,Alabama,AL,governor,1978 Alabama gubernatorial election,Candidate,Jim Partain,Prohibition,8103,1.07,False,False
1978,Alabama,AL,governor,1978 Alabama gubernatorial election,Candidate,Richard Dare,Determination,3522,0.46,False,False
1978,Alabama,AL,governor,1978 Alabama gubernatorial election,Total,,,760104,100.0,False,False
1978,Alaska,AK,governor,Open Primary Result,Winning,Jay Hammond (inc.),Republican,31921,30.01,True,False
1978,Alaska,AK,governor,Open Primary Result,Candidate,Wally Hickel,Republican,31823,29.92,False,False
1978,Alaska,AK,governor,Open Primary Result,Candidate,Tom Fink,Republican,17487,16.44,False,False
1978,Alaska,AK,governor,Open Primary Result,Candidate,Chancy Croft,Democratic,8910,8.38,False,False
1978,Alaska,AK,governor,Open Primary Result,Candidate,Edward A. Merdes,Democratic,8655,8.14,False,False
1978,Alaska,AK,governor,Open Primary Result,Candidate,Jay Kerttula,Democratic,7125,6.7,False,False
1978,Alaska,AK,governor,Open Primary Result,Candidate,Jimmie D. Lockhart,Republican,451,0.42,False,False
1978,Alaska,AK,governor,1978 Alaska gubernatorial election,Winning,Jay Hammond (inc.),Republican,49580,39.07,True,False
1978,Alaska,AK,governor,1978 Alaska gubernatorial election,Candidate,Wally Hickel (write-in),Write-in Candidate,33555,26.44,False,False
1978,Alaska,AK,governor,1978 Alaska gubernatorial election,Candidate,Chancy Croft,Democratic,25656,20.22,False,False
1978,Alaska,AK,governor,1978 Alaska gubernatorial election,Candidate,Tom Kelly,Independent,15656,12.34,False,False
1978,Alaska,AK,governor,1978 Alaska gubernatorial election,Candidate,Don Wright,Independence,2463,1.94,False,False
1978,Arizona,AZ,governor,"Arizona gubernatorial election, 1978",Winning,Bruce Babbitt,Democratic,282605,52.47,True,True
1978,Arizona,AZ,governor,"Arizona gubernatorial election, 1978",Candidate,Evan Mecham,Republican,241093,44.77,False,False
1978,Arizona,AZ,governor,"Arizona gubernatorial election, 1978",Candidate,V. Gene Lewter,Libertarian,10421,1.93,False,False
1978,Arizona,AZ,governor,"Arizona gubernatorial election, 1978",Candidate,Jessica Sampson,Workers,4437,0.82,False,False
1978,Arizona,AZ,governor,"Arizona gubernatorial election, 1978",Total,,,538556,100.0,False,False
1978,California,CA,governor,1978 California gubernatorial election,Winning,Edmund G. Brown Jr.,Democratic,3878812,56.03,True,True
1978,California,CA,governor,1978 California gubernatorial election,Candidate,Evelle J. Younger,Republican,2526534,36.5,False,False
1978,California,CA,governor,1978 California gubernatorial election,Candidate,Ed Clark,Independent,377960,5.46,False,False
1978,California,CA,governor,1978 California gubernatorial election,Candidate,Marilyn Seals,Freedom,70864,1.02,False,False
1978,California,CA,governor,1978 California gubernatorial election,Candidate,Theresa F. Dietrich,Independent,67103,0.97,False,False
1978,California,CA,governor,1978 California gubernatorial election,Candidate,Scattering,,1105,0.02,False,False
1978,California,CA,governor,1978 California gubernatorial election,Total,,,6922378,100.0,False,False
1978,Colorado,CO,governor,1978 Colorado gubernatorial election,Winning,Richard Lamm,Democratic,483985,58.76,True,True
1978,Colorado,CO,governor,1978 Colorado gubernatorial election,Candidate,Ted L. Strickland,Republican,317292,38.53,False,False
1978,Colorado,CO,governor,1978 Colorado gubernatorial election,Candidate,Roy Peister,Independent,13990,1.7,False,False
1978,Colorado,CO,governor,1978 Colorado gubernatorial election,Candidate,Elsa Blum,Workers,3690,0.45,False,False
1978,Colorado,CO,governor,1978 Colorado gubernatorial election,Candidate,Sal A. Mander,Independent,2452,0.3,False,False
1978,Colorado,CO,governor,1978 Colorado gubernatorial election,Candidate,Earl Dodge,Prohibition,2198,0.27,False,False
1978,Connecticut,CT,governor,1978 Connecticut gubernatorial election,Winning,Ella Grasso,Democratic,613109,59.15,True,True
1978,Connecticut,CT,governor,1978 Connecticut gubernatorial election,Candidate,Ronald A. Sarasin,Republican,422316,40.74,False,False
1978,Florida,FL,governor,1978 Florida gubernatorial election,Winning,Bob Graham/ Wayne Mixson,Democratic,1406580,55.59,True,False
1978,Florida,FL,governor,1978 Florida gubernatorial election,Candidate,Jack Eckerd/ Paula Hawkins,Republican,1123888,44.41,False,False
1978,Hawaii,HI,governor,"Hawaii gubernatorial election, 1978",Winning,George Ariyoshi,Democratic,153394,54.48,True,True
1978,Hawaii,HI,governor,"Hawaii gubernatorial election, 1978",Candidate,John R. Leopold,Republican,124610,44.25,False,False
1978,Hawaii,HI,governor,"Hawaii gubernatorial election, 1978",Candidate,Alema Leota,Nonpartisan,1982,0.7,False,False
1978,Hawaii,HI,governor,"Hawaii gubernatorial election, 1978",Candidate,Gregory Reeser,Libertarian,1059,0.38,False,False
1978,Hawaii,HI,governor,"Hawaii gubernatorial election, 1978",Candidate,John Moore,Aloha Democratic,542,0.19,False,False
1978,Idaho,ID,governor,1978 Idaho gubernatorial election,Winning,John Evans,Democratic,169540,58.75,True,True
1978,Idaho,ID,governor,1978 Idaho gubernatorial election,Candidate,Allan Larsen,Republican,114149,39.56,False,False
1978,Idaho,ID,governor,1978 Idaho gubernatorial election,Candidate,Wayne Loveless,American Party (1969),4877,1.69,False,False
1978,Illinois,IL,governor,"1978 gubernatorial election, Illinois",Winning,James R. Thompson (incumbent)/ David C. O'Neal,Republican,1859684,59.04,True,True
1978,Illinois,IL,governor,"1978 gubernatorial election, Illinois",Candidate,Michael Bakalis/ Richard J. Durbin,Democratic,1263134,40.1,False,False
1978,Illinois,IL,governor,"1978 gubernatorial election, Illinois",Candidate,Georgia Shields/ Marji Kohls,Libertarian,11420,0.36,False,False
1978,Illinois,IL,governor,"1978 gubernatorial election, Illinois",Candidate,Cecil Lampkin/ Dennis Brasky,Workers,11026,0.35,False,False
