year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
1969,New Jersey,NJ,governor,"New Jersey gubernatorial election, 1969",Winning,William T. Cahill,Republican,1411905,59.66,True,False
1969,New Jersey,NJ,governor,"New Jersey gubernatorial election, 1969",Candidate,Robert B. Meyner,Democratic,911003,38.49,False,False
1969,New Jersey,NJ,governor,"New Jersey gubernatorial election, 1969",Candidate,James E. Johnson,Independent,10725,0.45,False,False
1969,New Jersey,NJ,governor,"New Jersey gubernatorial election, 1969",Candidate,Jack D. Alvino,Independent,10149,0.43,False,False
1969,New Jersey,NJ,governor,"New Jersey gubernatorial election, 1969",Candidate,Winifred O. Perry,Conservative Party (new York),10128,0.43,False,False
1969,New Jersey,NJ,governor,"New Jersey gubernatorial election, 1969",Candidate,Louis Vanderplate,Independent,6611,0.28,False,False
1969,New Jersey,NJ,governor,"New Jersey gubernatorial election, 1969",Candidate,Julius Levin,Labor,6085,0.26,False,False
1969,New Jersey,NJ,governor,"New Jersey gubernatorial election, 1969",Total,,,2366606,100.0,False,False
1969,Virginia,VA,governor,1969 Virginia gubernatorial election,Winning,"A. Linwood Holton, Jr.",Republican,480869,52.51,True,False
1969,Virginia,VA,governor,1969 Virginia gubernatorial election,Candidate,William C. Battle,Democratic,415695,45.39,False,False
1969,Virginia,VA,governor,1969 Virginia gubernatorial election,Candidate,Beverly McDowell,Conservative Party of Virginia (1965),10596,1.16,False,False
1969,Virginia,VA,governor,1969 Virginia gubernatorial election,Candidate,William Pennington,Independent,7382,0.81,False,False
1969,Virginia,VA,governor,1969 Virginia gubernatorial election,Candidate,George Walker,Independent,1182,0.13,False,False
1969,Virginia,VA,governor,1969 Virginia gubernatorial election,Write-in,Write-ins,Write-ins,317,0.01,False,False
1971,Kentucky,KY,governor,1971 Kentucky gubernatorial election,Winning,Wendell H. Ford,Democratic,470720,50.57,True,False
1971,Kentucky,KY,governor,1971 Kentucky gubernatorial election,Candidate,Tom Emberton,Republican,412653,44.33,False,False
1971,Kentucky,KY,governor,1971 Kentucky gubernatorial election,Candidate,Albert B. Chandler,Independent,39493,4.24,False,False
1971,Kentucky,KY,governor,1971 Kentucky gubernatorial election,Candidate,William E. Smith,Independent,7924,0.85,False,False
1971,Kentucky,KY,governor,1971 Kentucky gubernatorial election,Total,,,930790,100.0,False,False
1971,Mississippi,MS,governor,"Mississippi gubernatorial election, 1971",Winning,William L. Waller,Democratic,601222,77.02,True,False
1971,Mississippi,MS,governor,"Mississippi gubernatorial election, 1971",Candidate,Charles Evers,Independent,172762,22.13,False,False
1971,Mississippi,MS,governor,"Mississippi gubernatorial election, 1971",Candidate,Tom P. Brady,Independent,6653,0.85,False,False
1972,Arkansas,AR,governor,1972 Arkansas gubernatorial election,Winning,Dale Bumpers,Democratic,488892,75.44,True,True
1972,Arkansas,AR,governor,1972 Arkansas gubernatorial election,Candidate,Len E. Blaylock,Republican,159177,24.56,False,False
1972,Delaware,DE,governor,1972 Delaware gubernatorial election,Winning,Sherman W. Tribbitt,Democratic,117274,51.27,True,False
1972,Delaware,DE,governor,1972 Delaware gubernatorial election,Candidate,Russell W. Peterson,Republican,109583,47.91,False,True
1972,Delaware,DE,governor,1972 Delaware gubernatorial election,Candidate,Virginia M. Lyndall,American Party (1969),1468,0.64,False,False
1972,Delaware,DE,governor,1972 Delaware gubernatorial election,Candidate,Harry H. Conner,Prohibition,397,0.17,False,False
1972,Illinois,IL,governor,"1972 gubernatorial election, Illinois",Winning,Daniel Walker/Neil F. Hartigan,Democratic,2371303,50.68,True,False
1972,Illinois,IL,governor,"1972 gubernatorial election, Illinois",Candidate,Richard B. Ogilvie (incumbent)/James D. Nowlan,Republican,2293809,49.02,False,False
1972,Illinois,IL,governor,"1972 gubernatorial election, Illinois",Candidate,George LaForest/Stanley L. Prorok,Labor,7966,0.17,False,False
1972,Illinois,IL,governor,"1972 gubernatorial election, Illinois",Candidate,Ishmael Flory/Theodore Pearson,Communist Party Usa,4592,0.1,False,False
1972,Illinois,IL,governor,"1972 gubernatorial election, Illinois",Write-in,,,1373,0.03,False,False
1972,Illinois,IL,governor,"1972 gubernatorial election, Illinois",Total,,,4679043,,False,False
1972,Indiana,IN,governor,1972 Indiana gubernatorial election,Winning,Otis Bowen,Republican,1203903,56.77,True,False
1972,Indiana,IN,governor,1972 Indiana gubernatorial election,Candidate,Matthew E. Welsh,Democratic,900489,42.46,False,False
1972,Indiana,IN,governor,1972 Indiana gubernatorial election,Candidate,Berryman S. Hurley,Independent,8525,0.4,False,False
1972,Indiana,IN,governor,1972 Indiana gubernatorial election,Candidate,Finley C. Campbell,Freedom,6278,0.3,False,False
1972,Indiana,IN,governor,1972 Indiana gubernatorial election,Candidate,John M. Morris,Labor,1652,0.08,False,False
1972,Indiana,IN,governor,1972 Indiana lieutenant gubernatorial election,Winning,Robert D. Orr,Republican,1149255,55.34,True,False
1972,Indiana,IN,governor,1972 Indiana lieutenant gubernatorial election,Candidate,Richard C. Bodine,Democratic,914000,44.01,False,False
1972,Indiana,IN,governor,1972 Indiana lieutenant gubernatorial election,Candidate,Raymond Lee Clark,Independent,6816,0.33,False,False
1972,Indiana,IN,governor,1972 Indiana lieutenant gubernatorial election,Candidate,Elizabeth Toohy,Freedom,4737,0.23,False,False
1972,Indiana,IN,governor,1972 Indiana lieutenant gubernatorial election,Candidate,Casimer Kanczuzewski,Labor,1878,0.09,False,False
1972,Iowa,IA,governor,1972 Iowa gubernatorial election,Winning,Robert D. Ray,Republican,707177,58.43,True,True
1972,Iowa,IA,governor,1972 Iowa gubernatorial election,Candidate,Paul Franzenburg,Democratic,487282,40.26,False,False
1972,Iowa,IA,governor,1972 Iowa gubernatorial election,Candidate,Robert Dilley,Independent,15715,1.3,False,False
1972,Iowa,IA,governor,1972 Iowa gubernatorial election,Write-in,Write-ins,Write-ins,48,0.0,False,False
1972,Kansas,KS,governor,1972 Kansas gubernatorial election,Winning,Robert Docking,Democratic,571256,61.99,True,True
1972,Kansas,KS,governor,1972 Kansas gubernatorial election,Candidate,Morris Kay,Republican,341440,37.05,False,False
1972,Kansas,KS,governor,1972 Kansas gubernatorial election,Candidate,Rolland Ernest Fisher,Prohibition,8856,0.96,False,False
1972,Missouri,MO,governor,"1972 gubernatorial election, Missouri",Winning,Kit Bond,Republican,1029451,55.18,True,False
1972,Missouri,MO,governor,"1972 gubernatorial election, Missouri",Candidate,Edward L. Dowd,Democratic,832751,44.64,False,False
1972,Missouri,MO,governor,"1972 gubernatorial election, Missouri",Candidate,Paul J. Leonard,Nonpartisan,3481,0.19,False,False
1972,Montana,MT,governor,"Montana gubernatorial election, 1972",Winning,Thomas Lee Judge,Democratic,172523,54.12,True,False
1972,Montana,MT,governor,"Montana gubernatorial election, 1972",Candidate,Ed Smith,Republican,146231,45.88,False,False
1972,New Hampshire,NH,governor,1972 New Hampshire gubernatorial election,Winning,Meldrim Thomson Jr.,Republican,133702,41.38,True,False
1972,New Hampshire,NH,governor,1972 New Hampshire gubernatorial election,Candidate,Robert J. Crowley,Democratic,126107,39.03,False,False
1972,New Hampshire,NH,governor,1972 New Hampshire gubernatorial election,Candidate,Malcolm McLane,Independent,63199,19.56,False,False
1972,New Hampshire,NH,governor,1972 New Hampshire gubernatorial election,Candidate,Scattering,Write-in,94,0.32,False,False
1972,North Carolina,NC,governor,1972 North Carolina gubernatorial election,Winning,James Holshouser,Republican,767470,51.0,True,False
1972,North Carolina,NC,governor,1972 North Carolina gubernatorial election,Candidate,Skipper Bowles,Democratic,729104,48.45,False,False
1972,North Carolina,NC,governor,1972 North Carolina gubernatorial election,Candidate,Arlis F. Pettyjohn,American Party (1969),8211,0.55,False,False
