year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
1974,Alabama,AL,governor,Democratic primary results,Winning,George Wallace,Democratic,536235.0,64.79,True,True
1974,Alabama,AL,governor,Democratic primary results,Candidate,Gene McLain,Democratic,249035.0,30.09,False,False
1974,Alabama,AL,governor,Democratic primary results,Candidate,Jim Folsom,Democratic,24821.0,3.0,False,False
1974,Alabama,AL,governor,Democratic primary results,Candidate,Shorty Price,Democratic,9834.0,1.19,False,False
1974,Alabama,AL,governor,Democratic primary results,Candidate,Thomas Robinson,Democratic,7726.0,0.93,False,False
1974,Alabama,AL,governor,Democratic primary results,Total,,,827651.0,,False,False
1974,Arizona,AZ,governor,Republican primary results,Winning,Russell Williams,Republican,53132.0,35.57,True,False
1974,Arizona,AZ,governor,Republican primary results,Candidate,Evan Mecham,Republican,30266.0,20.26,False,False
1974,Arizona,AZ,governor,Republican primary results,Candidate,William C. Jacquin,Republican,27138.0,18.17,False,False
1974,Arizona,AZ,governor,Republican primary results,Candidate,John D. Driggs,Republican,23519.0,15.75,False,False
1974,Arizona,AZ,governor,Republican primary results,Candidate,Milton H. Graham,Republican,15315.0,10.25,False,False
1974,Arizona,AZ,governor,Republican primary results,Total,,,149370.0,100.0,False,False
1974,Arizona,AZ,governor,Democratic primary results,Winning,Raúl Héctor Castro,Democratic,115268.0,67.21,True,False
1974,Arizona,AZ,governor,Democratic primary results,Candidate,Jack Ross,Democratic,31250.0,18.22,False,False
1974,Arizona,AZ,governor,Democratic primary results,Candidate,Dave Moss,Democratic,19143.0,11.16,False,False
1974,Arizona,AZ,governor,Democratic primary results,Candidate,"Walter ""Denver"" Caudill",Democratic,5843.0,3.41,False,False
1974,Arizona,AZ,governor,Democratic primary results,Total,,,171504.0,100.0,False,False
1974,Arkansas,AR,governor,Democratic primary results,Winning,David Pryor,Democratic,297673.0,51.03,True,False
1974,Arkansas,AR,governor,Democratic primary results,Candidate,Orval E. Faubus,Democratic,193105.0,33.1,False,False
1974,Arkansas,AR,governor,Democratic primary results,Candidate,Bob C. Riley,Democratic,92612.0,15.88,False,False
1974,Arkansas,AR,governor,Democratic primary results,Total,,,583390.0,100.0,False,False
1974,Arkansas,AR,governor,Republican primary results,Winning,Ken Coon,Republican,3698.0,81.94,True,False
1974,Arkansas,AR,governor,Republican primary results,Candidate,Joseph H. Weston,Republican,815.0,18.06,False,False
1974,Arkansas,AR,governor,Republican primary results,Total,,,4513.0,100.0,False,False
1974,California,CA,governor,Republican primary results,Winning,Houston I. Flournoy,Republican,1164015.0,62.96,True,False
1974,California,CA,governor,Republican primary results,Candidate,Ed Reinecke,Republican,556259.0,30.09,False,False
1974,California,CA,governor,Republican primary results,Candidate,James Ware,Republican,36784.0,1.99,False,False
1974,California,CA,governor,Republican primary results,Candidate,Glenn Mitchel,Republican,31518.0,1.7,False,False
1974,California,CA,governor,Republican primary results,Candidate,J. F. Stay,Republican,29297.0,1.58,False,False
1974,California,CA,governor,Republican primary results,Candidate,William Nelson,Republican,22597.0,1.22,False,False
1974,California,CA,governor,Republican primary results,Candidate,Scattering,Republican,8355.0,0.45,False,False
1974,California,CA,governor,Republican primary results,Total,,,1848825.0,100.0,False,False
1974,California,CA,governor,Democratic primary results,Winning,Edmund G. Brown Jr.,Democratic,1085752.0,37.86,True,False
1974,California,CA,governor,Democratic primary results,Candidate,Joseph Alioto,Democratic,544007.0,18.97,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Bob Moretti,Democratic,478469.0,16.68,False,False
1974,California,CA,governor,Democratic primary results,Candidate,William M. Roth,Democratic,293686.0,10.24,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Jerome R. Waldie,Democratic,227489.0,7.93,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Baxter Ward,Democratic,79745.0,2.78,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Herbert Hafif,Democratic,77505.0,2.7,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Alex A. Aloia,Democratic,18400.0,0.64,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Conie R. Robertson,Democratic,11493.0,0.4,False,False
1974,California,CA,governor,Democratic primary results,Candidate,George Henry Wagner,Democratic,8955.0,0.31,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Jim Wedworth,Democratic,7973.0,0.28,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Joseph Francis Brouillette,Democratic,7906.0,0.28,False,False
1974,California,CA,governor,Democratic primary results,Candidate,John Hancock Abbott,Democratic,6961.0,0.24,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Josephum S. Ramos,Democratic,6721.0,0.23,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Eileen Anderson,Democratic,6666.0,0.23,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Chris Musun,Democratic,3495.0,0.12,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Russ Priebe,Democratic,1427.0,0.05,False,False
1974,California,CA,governor,Democratic primary results,Candidate,Scattering,Democratic,1349.0,0.05,False,False
1974,California,CA,governor,Democratic primary results,Total,,,2867999.0,100.0,False,False
1974,Colorado,CO,governor,Democratic primary results,Winning,Richard Lamm,Democratic,120452.0,58.69,True,False
1974,Colorado,CO,governor,Democratic primary results,Candidate,Thomas T. Farley,Democratic,84796.0,41.31,False,False
1974,Colorado,CO,governor,Democratic primary results,Total,,,205248.0,100.0,False,False
1974,Colorado,CO,governor,Republican primary results,Winning,John Vanderhoof,Republican,94334.0,60.46,True,True
1974,Colorado,CO,governor,Republican primary results,Candidate,Bill Daniels,Republican,61691.0,39.54,False,False
1974,Colorado,CO,governor,Republican primary results,Total,,,156025.0,100.0,False,False
1974,Florida,FL,governor,Democratic primary results,Winning,Reubin Askew,Democratic,579137.0,68.83,True,True
1974,Florida,FL,governor,Democratic primary results,Candidate,Ben Hill Griffin Jr.,Democratic,137008.0,16.28,False,False
1974,Florida,FL,governor,Democratic primary results,Candidate,Thomas Burton Adams Jr.,Democratic,85557.0,10.17,False,False
1974,Florida,FL,governor,Democratic primary results,Candidate,Norman Bie,Democratic,39758.0,4.72,False,False
1974,Florida,FL,governor,Democratic primary results,Total,,,841460.0,,False,False
1974,Florida,FL,governor,Republican primary results,Winning,Jerry Thomas,Republican,,,True,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,Lester Maddox,Democratic,310384.0,36.32,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,George Busbee,Democratic,177977.0,20.83,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,Bert Lance,Democratic,147026.0,17.2,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,David H. Gambrell,Democratic,66000.0,7.72,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,George T. Smith,Democratic,43196.0,5.05,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,Harry C. Jackson,Democratic,42121.0,4.93,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,Robert A. Rowan,Democratic,31696.0,3.71,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,Ronnie Thompson,Democratic,23933.0,2.8,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,B. J. Parker,Democratic,4650.0,0.54,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,Bud Herrin,Democratic,3419.0,0.4,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,Thomas J. Irwin,Democratic,2224.0,0.26,False,False
1974,Georgia,GA,governor,Democratic primary results,Candidate,Jennings Thompson,Democratic,1987.0,0.23,False,False
1974,Georgia,GA,governor,Democratic runoff results,Candidate,George Busbee,Democratic,551106.0,59.86,False,False
1974,Georgia,GA,governor,Democratic runoff results,Candidate,Lester Maddox,Democratic,369608.0,40.14,False,False
1974,Georgia,GA,governor,Republican primary results,Candidate,Ronnie Thompson,Republican,19691.0,41.0,False,False
1974,Georgia,GA,governor,Republican primary results,Candidate,Harold Dye,Republican,10912.0,22.72,False,False
1974,Georgia,GA,governor,Republican primary results,Candidate,George Lankford,Republican,8618.0,17.95,False,False
1974,Georgia,GA,governor,Republican primary results,Candidate,Harry Geisinger,Republican,6078.0,12.66,False,False
1974,Georgia,GA,governor,Republican primary results,Candidate,Bill Coolidge,Republican,2723.0,5.67,False,False
1974,Georgia,GA,governor,Republican runoff results,Candidate,Ronnie Thompson,Republican,22211.0,50.62,False,False
1974,Georgia,GA,governor,Republican runoff results,Candidate,Harold Dye,Republican,21669.0,49.38,False,False
1974,Guamanian,GU,governor,1974 Guamanian gubernatorial Republican primary|,Winning,Carlos Camacho (inc.) Kurt Moylan (inc.),Republican,5633.0,51.36,True,False
1974,Guamanian,GU,governor,1974 Guamanian gubernatorial Republican primary|,Candidate,Paul McDonald Calvo Tony Palomo,Republican,5335.0,48.64,False,False
1974,Guamanian,GU,governor,1974 Guamanian gubernatorial Republican primary|,Total,,,10968.0,100.0,False,False
1974,Guamanian,GU,governor,1974 Guamanian gubernatorial Democratic primary|,Winning,Ricardo Bordallo Rudy Sablan,Democratic,4435.0,49.75,True,False
1974,Guamanian,GU,governor,1974 Guamanian gubernatorial Democratic primary|,Candidate,Sanchez Torres,Democratic,1756.0,19.7,False,False
1974,Guamanian,GU,governor,1974 Guamanian gubernatorial Democratic primary|,Candidate,Guerrero Flores,Democratic,1469.0,16.48,False,False
1974,Guamanian,GU,governor,1974 Guamanian gubernatorial Democratic primary|,Candidate,Arriola Nelson,Democratic,1254.0,14.07,False,False
1974,Guamanian,GU,governor,1974 Guamanian gubernatorial Democratic primary|,Total,,,8914.0,100.0,False,False
1974,Iowa,IA,governor,Democratic primary results,Winning,James Schaben,Democratic,59840.0,44.82,True,False
1974,Iowa,IA,governor,Democratic primary results,Candidate,William J. Gannon,Democratic,52420.0,39.26,False,False
1974,Iowa,IA,governor,Democratic primary results,Candidate,Clark R. Rasmussen,Democratic,21240.0,15.91,False,False
1974,Iowa,IA,governor,Democratic primary results,Candidate,Write-ins,Democratic,16.0,0.01,False,False
1974,Iowa,IA,governor,Democratic primary results,Total,,,133516.0,100.0,False,False
1974,Iowa,IA,governor,Republican primary results,Winning,Robert D. Ray,Republican,126113.0,99.98,True,True
1974,Iowa,IA,governor,Republican primary results,Candidate,Write-ins,Republican,25.0,0.02,False,False
1974,Iowa,IA,governor,Republican primary results,Total,,,126138.0,100.0,False,False
1974,Kansas,KS,governor,Republican primary results,Winning,Robert Frederick Bennett,Republican,67347.0,32.39,True,False
1974,Kansas,KS,governor,Republican primary results,Candidate,Don O. Concannon,Republican,66817.0,32.13,False,False
1974,Kansas,KS,governor,Republican primary results,Candidate,Forrest J. Robinson,Republican,56440.0,27.14,False,False
1974,Kansas,KS,governor,Republican primary results,Candidate,Bob Clack,Republican,17333.0,8.34,False,False
1974,Kansas,KS,governor,Republican primary results,Total,,,207937.0,100.0,False,False
1974,Maryland,MD,governor,Democratic primary results,Winning,Marvin Mandel,Democratic,254509.0,65.69,True,True
1974,Maryland,MD,governor,Democratic primary results,Candidate,Wilson K. Barnes,Democratic,96902.0,25.01,False,False
1974,Maryland,MD,governor,Democratic primary results,Candidate,Morgan L. Amaimo,Democratic,18939.0,4.89,False,False
1974,Maryland,MD,governor,Democratic primary results,Candidate,Howard L. Gates,Democratic,17084.0,4.41,False,False
1974,Maryland,MD,governor,Democratic primary results,Total,,,387434.0,100.0,False,False
1974,Maryland,MD,governor,Republican primary results,Winning,Louise Gore,Republican,57626.0,53.6,True,False
1974,Maryland,MD,governor,Republican primary results,Candidate,Lawrence Hogan,Republican,49887.0,46.4,False,False
1974,Maryland,MD,governor,Republican primary results,Total,,,107513.0,100.0,False,False
1974,Massachusetts,MA,governor,1974 Massachusetts Republican gubernatorial primary,Winning,Francis W. Sargent,Republican,124250.0,63.32,True,True
1974,Massachusetts,MA,governor,1974 Massachusetts Republican gubernatorial primary,Candidate,Carroll Sheehan,Republican,71936.0,36.66,False,False
1974,Massachusetts,MA,governor,1974 Massachusetts Republican gubernatorial primary,Candidate,All others,Write-in,46.0,0.02,False,False
1974,Massachusetts,MA,governor,1974 Massachusetts Democratic gubernatorial primary,Winning,Michael Dukakis,Democratic,444590.0,57.67,True,False
1974,Massachusetts,MA,governor,1974 Massachusetts Democratic gubernatorial primary,Candidate,Robert H. Quinn,Democratic,326385.0,42.33,False,False
1974,Massachusetts,MA,governor,1974 Massachusetts Democratic gubernatorial primary,Candidate,All others,Write-in,46.0,0.01,False,False
1974,Massachusetts,MA,governor,1974 Massachusetts Democratic lieutenant gubernatorial primary,Winning,Thomas P. O'Neill III,Democratic,250259.0,35.69,True,False
1974,Massachusetts,MA,governor,1974 Massachusetts Democratic lieutenant gubernatorial primary,Candidate,Christopher A. Iannella,Democratic,190587.0,27.18,False,False
