year,state,state_code,office,candidate,party,percentage,winner,incumbent
1948,Arizona,AZ,governor,Dan Edward Garvey,Democratic,59.2,True,True
1948,Arizona,AZ,governor,Bruce Brockett,Republican,40.1,False,False
1948,Arizona,AZ,governor,Ernest Fohle,Prohibition,0.8,False,False
1948,Arkansas,AR,governor,Sid McMath,Democratic,89.4,True,False
1948,Arkansas,AR,governor,Charles R. Black,Republican,10.7,False,False
1948,Colorado,CO,governor,William Lee Knous,Democratic,66.3,True,True
1948,Colorado,CO,governor,David A. Hamil,Republican,33.7,False,False
1948,Connecticut,CT,governor,Chester Bowles,Democratic,49.31,True,False
1948,Connecticut,CT,governor,James C. Shannon,Republican,49.0,False,True
1948,Connecticut,CT,governor,Jasper McLevy,Socialist,1.45,False,False
1948,Connecticut,CT,governor,Joseph Mackay,Labor,0.16,False,False
1948,Connecticut,CT,governor,Morris Chertov,Workers,0.09,False,False
1948,Delaware,DE,governor,Elbert N. Carvel,Democratic,53.7,True,False
1948,Delaware,DE,governor,Hyland P. George,Republican,46.3,False,False
1948,Florida,FL,governor,Fuller Warren,Democratic,83.4,True,False
1948,Florida,FL,governor,Bert L. Acker,Republican,16.6,False,False
1948,Georgia,GA,governor,Herman Talmadge,Democratic,97.5,True,False
1948,Georgia,GA,governor,Morgan Blake,Independent,2.2,False,False
1948,Georgia,GA,governor,James Barfoot,Independent,0.18,False,False
1948,Georgia,GA,governor,Melvin E. Thompson,Independent,0.09,False,True
1948,Illinois,IL,governor,Adlai Stevenson II,Democratic,57.1,True,False
1948,Illinois,IL,governor,Dwight H. Green,Republican,42.6,False,True
1948,Illinois,IL,governor,Willis R. Wilson,Prohibition,0.24,False,False
1948,Illinois,IL,governor,Louis Fisher,Labor,0.07,False,False
1948,Indiana,IN,governor,Henry F. Schricker,Democratic,53.6,True,False
1948,Indiana,IN,governor,Hobart Creighton,Republican,45.1,False,False
1948,Indiana,IN,governor,Clinton W. Speicher,Prohibition,0.8,False,False
1948,Indiana,IN,governor,Walter Frisbie,Progressive,0.4,False,False
1948,Indiana,IN,governor,William Rabe,Socialist,0.1,False,False
1948,Indiana,IN,governor,Martin Ginsberg,Labor,0.04,False,False
1948,Iowa,IA,governor,William S. Beardsley,Republican,55.7,True,False
1948,Iowa,IA,governor,Carroll O. Switzer,Democratic,43.7,False,False
1948,Iowa,IA,governor,C.E. Bierderman,Progressive,0.36,False,False
1948,Iowa,IA,governor,Marvin Galbreath,Prohibition,0.25,False,False
1948,Iowa,IA,governor,William F. Leonard,Socialist,0.05,False,False
