year,state,state_code,office,candidate,party,percentage,winner,incumbent
1925,New Jersey,NJ,governor,A. Harry Moore,Democratic,51.87,True,False
1925,New Jersey,NJ,governor,Arthur Whitney,Politician,47.64,False,False
1925,New Jersey,NJ,governor,Leo M. Harkins,Socialist,0.22,False,False
1925,New Jersey,NJ,governor,''Scattering'',,0.27,False,False
1925,Virginia,VA,governor,Harry F. Byrd,Democratic,74.07,True,False
1925,Virginia,VA,governor,Samuel Harris Hoge,Republican,25.93,False,False
1927,Kentucky,KY,governor,Flemon D. Sampson,Republican,52.09,True,False
1927,Kentucky,KY,governor,J. C. W. Beckham,Democratic,47.91,False,False
1927,Louisiana,LA,governor,Huey Long,Democratic,96.14,True,False
1927,Louisiana,LA,governor,Etienne J. Caire,Republican,3.86,False,False
1927,Mississippi,MS,governor,Theodore G. Bilbo,Democratic,,True,False
1927,Mississippi,MS,governor,''Unopposed'',,,False,False
1929,Virginia,VA,governor,John Garland Pollard,Democratic,62.78,True,False
1929,Virginia,VA,governor,William Moseley Brown,Republican,36.95,False,False
1929,Virginia,VA,governor,John J. Kafka,Socialist,0.17,False,False
1929,Virginia,VA,governor,W. A. Rowe,Independent,0.11,False,False
1931,Kentucky,KY,governor,Ruby Laffoon,Democratic,54.28,True,False
1931,Kentucky,KY,governor,William B. Harrison,Republican,45.43,False,False
1931,Kentucky,KY,governor,John J. Thobe,Socialist,0.14,False,False
1931,Kentucky,KY,governor,Herman Horning,Socialist Labor,0.14,False,False
1931,Louisiana,LA,governor,Oscar K. Allen,Democratic,99.95,True,False
1931,Louisiana,LA,governor,''Scattering'',,0.05,False,False
1931,Mississippi,MS,governor,Martin S. Conner,Democratic,,True,False
1931,Mississippi,MS,governor,''Unopposed'',,,False,False
1931,New Jersey,NJ,governor,A. Harry Moore,Democratic,57.82,True,False
1931,New Jersey,NJ,governor,David Baird Jr.,Republican,39.74,False,False
1931,New Jersey,NJ,governor,Edmund R. Halsey,Independent,1.06,False,False
1931,New Jersey,NJ,governor,Owen M. Bruner,National Prohibition,0.64,False,False
1931,New Jersey,NJ,governor,Herman F. Niessner,Socialist,0.41,False,False
1931,New Jersey,NJ,governor,John J. Ballam,Communist,0.14,False,False
1931,New Jersey,NJ,governor,John C. Butterworth,Socialist Labor,0.12,False,False
1931,New Jersey,NJ,governor,John A. Kelly,Taxpayers,0.08,False,False
1933,Virginia,VA,governor,George Campbell Peery,Democratic,73.74,True,False
1933,Virginia,VA,governor,Fred W. McWane,Republican,24.24,False,False
1933,Virginia,VA,governor,Andrew J. Dunning,Prohibition,0.67,False,False
1933,Virginia,VA,governor,George C. White,Socialist,0.67,False,False
1933,Virginia,VA,governor,John Moffett Robinson,Independent,0.53,False,False
1933,Virginia,VA,governor,W. A. Rowe,Independent,0.16,False,False
1935,Kentucky,KY,governor,Happy Chandler,Democratic,54.46,True,False
1935,Kentucky,KY,governor,King Swope,Republican,45.14,False,False
1935,Kentucky,KY,governor,W. E. Cissna,Prohibition,0.2,False,False
1935,Kentucky,KY,governor,W. A. Sandefur,Socialist,0.08,False,False
